Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),N (mg/kg),P (mg/kg),K (mg/kg),Mg (mg/kg),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NTXM-150,0-30,Gill,6.8,1.92,1.67,1.6,15.72,28.76,16.72,358.38,339.45,421.76,9.58,2.55,5.77,0.97,0.89,
NMNX-261,20-40 sm,Loy,8.52,,2.67,1.5,23.48,30.35,17.44,346.44,339.48,439.65,9.86,3.12,6.36,0.54,1.66,Bug'doy
,0-30,Yengil qum,8.18,1.93,4.16,1.64,15.51,16.36,10.86,357.24,327.4,395.33,,2.59,7.26,0.52,2.34,Bug'doy
NTXM-150,0-30,Yengil qum,6.96,1.54,4.04,1.57,19.97,30.25,18.74,353.33,330.3,418.76,12.27,3.56,8.78,0.86,2.53,Bug'doy
NTTM-112,0-30,Gill,7.36,1.74,2.67,1.57,21.76,29.66,17.8,321.49,292.77,381.45,9.62,3.55,8.45,1.07,2.97,Bug'doy
NMNX-624,0-30,Yengil qum,7.1,0.28,4.67,1.54,13.96,30.77,17.7,355.89,329.97,386.46,8.83,0.5,7.04,0.44,,Bug'doy
Karta-111,0-30,Gill,8.86,1.77,1.84,1.4,11,41.67,23.8,391.78,342.96,440.02,7.8,3.87,7.21,0.89,,Bug'doy
TSPD-2001,0-30,Gill,8.31,1.5,4.85,1.64,21.16,21.78,14.18,309.69,321.35,460.99,8.78,2.12,8.74,1,2.21,Bug'doy
NTTM-114,0-30,Gill,8.77,1.75,3.25,1.64,29.89,24.18,15.14,331.52,325.95,402.64,6.79,2.91,9.74,0.79,2.5,Bug'doy
NMNX-987,0-20 sm,Loy,6.59,1.74,2.23,1.28,21.81,49.33,26.91,397.92,347.07,380.23,9.86,1.05,11.02,0.68,1.78,Bug'doy
,0-30,Gill,7.04,1.88,4.32,1.59,14.29,20.5,12.25,301.74,298.17,432.35,10.47,3.7,8.82,0.56,1.92,Bug'doy
TSPD-2002,0-30,Gill,8.5,0.77,2.41,1.59,10.83,59.69,33.83,444.85,,426.78,7.65,1.2,7.17,0.92,2.23,Bug'doy
NTTM-115,0-30,Gill,7.26,1.29,1.66,1.46,20.26,40.26,24.34,378.59,329.78,411.27,8.5,2.13,8.6,1.11,1.34,Bug'doy
NMNX-1229,0-30,Gill,7.93,1.15,3.62,1.41,17.12,55.7,31.55,393.22,376.96,461.86,8.9,2.21,7.45,0.84,1.9,Bug'doy
TSPD-2003,0-20 sm,Loy,6.93,1.98,1.56,1.49,24.46,54.11,29.93,383.42,,420.38,9.97,2.6,8.82,0.74,2.02,Bug'doy
,0-20 sm,Yengil qum,7.01,1.24,4.07,1.62,16.61,26.54,14.84,375.92,360.61,446.33,11.02,3.49,7.56,1.08,2.23,Bug'doy
NTXM-144,0-20 sm,Loy,8.64,1.06,4.85,1.57,22.59,19.06,13.72,322.85,319.4,426.71,5.46,3.42,7.66,0.57,1.17,
NMNX-136,0-20 sm,Loy,8.15,1.11,4.16,1.49,27.43,35.46,21.13,395.48,366.76,420.54,7.52,2.41,8.48,1.12,1.66,Bug'doy
NTTM-106,0-20 sm,Yengil qum,8.37,1.68,4.49,1.59,21.84,41.82,26.08,399.94,346.81,,8.39,2.42,8.82,1.02,2.04,Bug'doy
,0-20 sm,Yengil qum,8.6,1.79,1.46,1.56,24,27.72,17.72,396.63,389.38,398.85,8.15,3.11,7.24,0.92,2.26,Bug'doy
NMNX-618,0-20 sm,Yengil qum,8.03,0.55,3.77,1.49,25.8,34.02,18.12,356.75,341.62,423.41,8.86,2.04,9.4,1.04,,Bug'doy
NTXM-146,0-20 sm,Loy,8.81,0.92,4.06,1.6,15.16,16.42,12.83,361.92,316.27,447.66,8.07,0.66,7.41,0.97,1.55,Bug'doy
NMNT-138,0-20 sm,Yengil qum,8.37,1.1,1.05,1.46,15.11,23.25,16.84,321.45,289.55,445.83,9.57,1.21,8.52,0.87,1.8,Bug'doy
NMNX-498,0-30,Gill,7.78,1.97,1.47,1.48,22.47,41.74,24.23,397.06,376,448.55,6.48,3.5,6.01,0.94,,Bug'doy
NMNX-619,0-30,Gill,6.63,2.41,4.27,1.42,18.75,61.97,31.51,407.15,379.27,406.66,7.51,2.18,5.5,0.77,2.42,Bug'doy
NMNT-139,0-20 sm,Loy,8.71,1.23,4.82,1.59,20.05,19.65,13.06,335.6,,400.53,10.26,1.86,7.52,0.99,1.94,Bug'doy
NMNX-620,0-30,Gill,8.99,0.9,4.75,1.41,17.45,15.39,12.35,313.35,,399.03,9.85,3.29,8.09,0.54,1.74,Bug'doy
NTXM-147,0-20 sm,Yengil qum,7.52,1.32,3.91,1.52,23.59,36.78,20.65,353.66,356.66,379.99,,1.89,8.53,0.98,1.46,Bug'doy
NMNX-139,0-20 sm,Yengil qum,7.83,0.76,3.88,1.65,16.5,18.69,10.41,306.19,302.88,355.84,10.01,3.23,8.44,0.46,1.56,Bug'doy
NTXM-148,0-20 sm,Gill,7.36,,2.72,1.46,21.2,54.14,27.64,404.23,352.41,435.51,9.6,0.86,9.38,0.96,2.03,Bug'doy
NTXM-148,0-20 sm,Gill,8.66,1.52,2.79,1.4,14.13,15.84,13.41,324.85,312.03,466.89,7.54,1.52,10.18,1.19,,Bug'doy
NMNX-140,0-20 sm,Gill,6.63,1.25,1.8,1.59,27.24,51.44,26.73,376.01,340.64,409.08,11.93,3.34,9.55,1.33,1.56,Bug'doy
NMNT-141,0-20 sm,Gill,8.51,2.18,3.83,1.44,16.48,32.79,20.79,315.74,291.98,467.52,11.28,3.89,9.2,1.04,1.55,Bug'doy
NTTM-110,0-20 sm,Gill,6.78,0.65,4.78,1.55,22.09,42.8,22.97,350.61,339.55,432.04,7.46,1.37,6.3,1.03,,Bug'doy
NMNX-622,0-20 sm,Gill,7.27,0.6,3.58,1.52,28.69,33.19,19.48,373.62,328.8,380.33,6.28,0.5,7.74,1.14,2.32,Bug'doy
NTXM-149,0-20 sm,Gill,6.48,1.55,2.4,1.43,16.73,60.76,31.11,394.09,363.1,461.48,7.35,3.9,8.18,0.88,1.42,
NTXM-150,0-20 sm,Gill,6.88,1.09,2.27,1.45,28.73,50.71,26.87,384.31,353.18,426.16,6.61,1.22,9.08,0.85,2.05,Bug'doy
NMNT-142,0-20 sm,Gill,8.42,1.9,4.18,1.5,18.43,16.7,11.6,297.05,277.4,397.4,14.69,0.56,6.59,1.11,1.17,Bug'doy
NMNX-623,0-20 sm,Gill,8.36,0.28,4.58,1.63,13.95,21.14,14.71,351.62,339.74,442,10.67,3.76,5.75,0.71,1.86,Bug'doy
NTXM-150,0-20 sm,Gill,8.42,2.15,4.09,1.6,25.96,16.29,11.74,314.07,323.58,388.16,9.91,1.67,,1.3,0.9,Bug'doy
NMNX-142,0-20 sm,Gill,7.37,1.68,2.79,1.53,13.78,50.59,28.81,395.72,369.48,426.98,6.4,1.88,7.58,0.63,1.9,Bug'doy
NTXM-151,0-20 sm,Gill,8.73,0.96,4.76,1.51,24.46,25.34,17.22,349.45,336.7,462.99,10.74,3.52,8.51,1.08,2.13,Bug'doy
NMNX-624,0-20 sm,Gill,7.88,1.03,4.68,1.64,13.65,18.49,13.54,348.68,321.87,460.72,8.01,3.6,7.03,1.24,2.67,Bug'doy
NTTM-113,0-20 sm,Gill,6.98,1.23,3.66,1.55,12.37,63.41,34.03,478.07,429.91,406.01,7.83,1.33,9.41,0.77,2.07,Bug'doy
NMNX-745,0-20 sm,Gill,7.95,1.01,1.75,1.5,28.43,61.33,34.96,431.69,427.88,442.84,9,2.85,9.4,1.11,1.36,Bug'doy
NMNX-866,0-20 sm,Gill,8,2.56,3.36,1.5,27.63,43.03,23.68,357.21,334.42,377.19,11.22,1.45,6.88,0.9,,Bug'doy
NTXM-152,0-20 sm,Gill,6.98,1.81,2.8,1.64,18.32,69.57,35.57,425.32,400.29,438.34,10.9,2.82,,0.87,1.84,Bug'doy
TSPD-2001,0-20 sm,Gill,7.43,0.66,2.9,1.47,22.67,62.74,33.31,462.54,433.67,347.34,9.87,0.86,11.24,1.13,2.08,Bug'doy
NTTM-114,0-20 sm,Gill,8.68,1.37,4.69,1.53,16.08,19.03,12.48,312.34,302.26,454.9,12.48,3.6,6.63,1.02,2.02,Bug'doy
NMNX-1108,0-20 sm,Gill,7.74,1.48,4.6,1.57,22.72,22.07,14.25,342.91,308.84,,10.33,3.21,7.06,0.58,,
TSPD-2002,0-20 sm,Gill,7.63,1.97,3.66,1.51,23.76,30.96,18.9,329.14,309.61,499.38,,0.83,6.64,0.59,,Bug'doy
NTTM-115,0-20 sm,Gill,6.99,0.91,2.8,1.4,17.68,59.68,30.29,413.67,345.81,382.88,6.87,1.87,10.05,0.46,1.59,Bug'doy
NTXM-154,0-20 sm,Gill,8.63,0.71,4.78,1.62,18.75,13.46,11.11,369,345.11,428.88,12.25,1.35,,1.22,2.15,Bug'doy
NMNX-1592,0-20 sm,Gill,8.06,1.27,4.37,1.55,21.89,35.87,23.3,375.91,340.77,31.3,,1.67,8.72,0.63,1.9,Bug'doy
NMNX-1231,0-20 sm,Gill,6.98,1.92,3.31,1.59,26.25,39.86,20.92,361.19,363.45,38.63,11.95,2,5.92,0.73,2.79,Bug'doy
NMNX-136,0-20 sm,Gill,8,2.09,3.84,1.44,20.66,34.94,22.22,367.53,345.28,36.13,9.86,1.39,10.58,,1.44,Bug'doy
NMNX-137,0-20 sm,Gill,8.81,0.42,4.38,1.28,20.13,42.18,25.15,386.83,345.35,32.12,11.11,0.53,8.35,1.26,2.21,Bug'doy
NTXM-146,0-20 sm,Gill,6.96,0.72,1.94,1.35,15.11,47.94,27.33,387.88,335.99,,10.48,2.48,8.28,0.67,,Bug'doy
NMNT-138,0-20 sm,Gill,8.88,,3.06,1.44,14.24,26.23,16.55,378.33,319.57,35.01,7.99,2.67,7.19,0.54,1.45,Bug'doy
NMNX-739,0-20 sm,Gill,8.31,0.82,4.69,1.61,25.58,18.88,14.04,311.27,282.16,39.91,9.47,0.85,,0.82,1.11,Bug'doy
NTXM-146,0-20 sm,Gill,7.44,1.38,4.32,1.45,21.53,23.74,15.36,315.03,288.15,36.77,9.86,0.62,7.27,0.62,1.38,Bug'doy
NMNT-139,0-20 sm,Gill,7.81,1.38,1.5,1.38,28.87,59.82,33.17,462.16,416.09,32.91,9.62,2.28,8.08,0.72,0.8,Bug'doy
NTTM-108,0-20 sm,Gill,8.36,1.66,1.79,1.41,15.08,42.37,23.99,374.85,353.14,30.05,8.83,3.41,7.91,0.7,1.35,Bug'doy
NMNX-861,0-20 sm,Gill,7.72,1.89,2.44,1.58,26.48,38.94,20.14,336.51,312.17,39.48,8.78,1.19,7.88,1.09,2.5,Bug'doy
NTXM-147,0-20 sm,Gill,7.59,1.03,4.35,1.62,25.94,22.68,16.37,298.04,281.03,37.61,6.79,3.9,7.73,,2.15,Bug'doy
NMNX-139,0-20 sm,Gill,6.83,0.75,4.22,1.52,26.26,53.53,29.24,387.86,362.1,42.86,9.86,0.68,7.33,0.85,1.72,Bug'doy
NMNT-140,0-20 sm,Gill,7.38,0.63,2.29,1.42,21.13,54.74,29.63,406.96,364.85,33.9,7.65,2.77,7.22,1.02,1.89,Bug'doy
NMNX-862,0-20 sm,Gill,8.46,1.22,3.14,1.43,22.61,24.46,16.16,356.12,320.19,43.05,9.97,2.45,8.26,1.04,2.5,Bug'doy
NMNX-140,0-20 sm,Gill,8.23,1.25,4.97,1.43,20.14,27.43,19.92,349.58,331.56,,5.46,3.14,6.61,0.91,2.52,Bug'doy
NTXM-149,0-20 sm,Gill,8.75,1.48,4.4,1.57,17.63,24.2,17.76,381.87,374.69,39.13,7.52,0.94,10.07,0.76,3.35,Bug'doy
NTTM-110,0-20 sm,Gill,8.85,0.56,2.82,1.37,29.01,26.15,16.07,387.71,377.71,30.01,8.15,3.79,7.39,1.24,1.33,Bug'doy
NTXM-149,0-20 sm,Gill,7.21,3.24,2.38,1.44,19.63,43.16,22.88,380.55,,32.23,8.01,0.87,,,,Bug'doy
NMNX-141,0-20 sm,Gill,8.89,0.6,4.59,1.48,15.1,34.36,19.44,335.54,305.72,34.37,8.89,1.91,9.24,0.41,1.57,Bug'doy
NMNX-864,0-20 sm,Gill,8.89,0.66,3.64,1.49,19.57,38.01,21.36,389.44,324.8,34.15,7.25,2.56,8.67,0.99,1.43,Bug'doy
NMNX-142,0-20 sm,Gill,8.17,1.01,4.64,1.56,23.06,27.5,16.65,388.87,360.15,38.62,,0.77,10.67,1.03,2.11,Bug'doy
NTXM-151,0-20 sm,Gill,6.36,1.01,3.83,1.58,24.62,57.29,28.22,416.27,,35.8,12.53,1.01,,1.04,2.64,Bug'doy
NMNX-865,0-20 sm,Gill,8.37,0.85,3.92,1.56,21.41,19.34,13.47,314.96,296.21,38.26,10.98,3.51,7.84,0.83,2.89,Bug'doy
NTXM-152,0-20 sm,Gill,6.29,1.52,1.78,1.48,25.85,36.12,20.95,398.72,372.43,40.91,10.08,1.29,9.94,0.39,2.11,Bug'doy
NMNT-144,0-20 sm,Gill,7.83,0.73,3.4,1.62,17.96,19.85,14.15,315.15,274.08,33.97,6.69,3.47,,0.21,,Bug'doy
NMNX-866,0-20 sm,Gill,6.72,0.98,3.75,1.52,17.84,53.72,28.92,378.46,348.22,36.24,8.16,3.26,7.25,0.8,1.77,Bug'doy
NTXM-152,0-20 sm,Gill,7.65,1.56,4.61,1.51,13.61,24.49,16.27,316.3,296.1,33.39,10.19,2.7,6.94,0.7,2.12,Bug'doy
NTTM-114,0-20 sm,Gill,8.45,1.65,2.53,1.55,22.82,25.04,14.35,311.46,270.3,,11.21,3.66,9.14,1.2,1.32,Bug'doy
NMNX-987,0-20 sm,Gill,7.88,1.25,1.76,1.41,13.41,58.29,30.53,392.74,357.49,,10.26,3.13,7.23,0.59,,Bug'doy
NTXM-153,0-20 sm,Gill,8.97,1.99,4.78,1.64,29.6,13,12.66,320.05,295.13,,9.26,1.33,6.61,0.51,2.32,Bug'doy
TSPD-2002,0-20 sm,Gill,6.96,1.04,2.98,1.31,16.71,50.76,28.47,373.17,335.28,,10.66,2.65,8.14,0.61,2.8,Bug'doy
Karta-113,0-20 sm,Gill,8.3,1.25,3.89,1.48,18.51,24.59,16.62,319.97,301.33,37.51,10.92,3.89,6.54,1.1,2.15,Bug'doy
NMNX-1229,0-20 sm,Gill,8.29,0.64,3.57,1.55,19.17,37.77,19.62,323.97,317.17,32.16,10.2,2.13,9.53,1.32,2.7,Bug'doy
TSPD-2003,0-20 sm,Gill,8.48,1.45,2.31,1.37,28.11,50.28,27.28,383.24,333.76,35.41,7.33,0.83,,0.9,3.24,Bug'doy
Karta-114,0-20 sm,Gill,7.99,1.41,4.17,1.5,19.46,24.65,16.14,367.87,329.85,36.04,10.16,2.8,9.43,0.6,1.62,Bug'doy
NTTM-116,0-20 sm,Gill,8.45,0.96,2.19,1.46,15.05,64.37,33.53,446.64,394.4,43.81,7.21,1.35,6.54,1.07,,Bug'doy
