Namuna,Qatlam (sm),Mexanik tarkib,DNS (%),Tuproq zichligi (g/cm³),pH,EC (mS/cm),N (mg/kg),P (mg/kg),K (mg/kg),Gumus (%),Mg (mg/kg),S (mg/kg),Zn (mg/kg),Mn (mg/kg),B (mg/kg),Fe (mg/kg),Cu (mg/kg),Mikroorganizmlar(CFU/g),Ekin
NTTM-107,0-20 sm,Loyqa,26.5766896747176,21.0359416962161,7.23478905292532,0.488288008391387,38.82,22.3055709016026,231.947025353356,2.02,382.76,469.31,2.1,7.86,,62.96,0.7,525777027.61,Kartoshka
NMNX-137,0-20 sm,Loyqa,33.683667549852,26.8515057526226,6.18924591459233,0.367645755006957,72.8,15.7394172872665,210.484166909037,1.49,406.23,448.35,1.5,9.75,1.87,19.76,0.74,1787403719.78,Kartoshka
,0-20 sm,Gill,36.9977021368048,24.404966904497,6.85664541611597,0.300746785234217,16.68,24.5852583263544,269.502807931465,0.81,274.53,437.27,2.51,6.55,2.08,13.81,0.59,672566536.1,Kartoshka
,0-20 sm,Qum,39.8311813231948,17.1959269876009,6.96684536039899,0.245140307041214,43.03,16.0824316129478,156.948038890248,1.73,403.58,379.64,1.87,6.2,1.99,19.61,0.93,554719975.18,Kartoshka
NTXM-147,20-40 sm,Gill,29.6875162110515,29.3786042961411,6.2743013772958,0.344478448078064,32.92,25.0367412662358,174.064690613421,0.82,327.9,444.03,1.29,9.95,1.47,12.29,0.83,2929507587.65,Kartoshka
NMNT-139,0-20 sm,Loy,23.6353154920634,17.3242604120415,6.24159182977703,0.538074310128364,34.05,24.6124877120406,203.277455940663,1.75,332.2,428.32,1.62,8.7,1.77,15.21,0.82,633195480.86,Kartoshka
NTTM-108,0-20 sm,Gill,36.9731794340224,29.0761421924,7.21528657603989,0.379415415379135,33.95,29.9102894089999,272.366942859028,1.94,,392.51,1.31,7.3,2.62,25.05,0.51,978990984.32,Kartoshka
NMNT-140,20-40 sm,Qum,37.207201395783,26.6152331281441,6.76656362045468,0.427099407887508,36.41,26.2865330747773,153.66233510685,1.58,287.84,428.86,3.26,6.68,2.62,39.11,1.19,2467136767.13,Kartoshka
NMNX-139,0-20 sm,Qum,34.3488038287055,28.3086828929062,7.41912806681509,0.58853086047851,22.41,19.5975400052306,206.337365343097,1.68,279.56,419.22,2.19,9.53,1.56,21.08,0.74,388569848.15,Kartoshka
NMNX-140,0-20 sm,Gill,27.6791093683454,19.8479675722059,6.15545613761483,0.43097347383385,48.79,29.5769467997363,157.442465999592,1.45,385.04,401.55,1.65,8.15,2.53,23.21,0.7,133416010.31,Kartoshka
NTXM-149,20-40 sm,Qum,21.2657099206044,15.0202186399058,7.03729336893245,0.546847178298901,13.83,26.4254754352645,270.38713909409,2.13,322.09,457.09,3.73,9.16,1.5,32.73,0.47,319259296.61,Kartoshka
NMNT-141,0-20 sm,Loyqa,29.7637495489404,26.221931231065,6.25886944735886,0.297638148577217,60.59,27.2380785575105,277.144900005483,2,404.43,418.15,0.83,8.17,2.41,18.93,0.89,1274647289.45,Kartoshka
NMNX-19,0-20 sm,Loy,27.6545289090357,26.2269596612035,7.34130241071118,0.41043866099594,24.14,19.8007105986934,205.632649506823,1.57,297.47,398.38,1.83,7.71,1.52,49.18,0.64,666341544.79,Kartoshka
NMNX-140,0-30,Gill,35.8824910775869,17.0233423131003,6.44812506230716,0.446360112576647,18.25,29.4324201910194,255.464409586176,1.79,308.81,477.77,1.59,8.69,0.94,39.74,0.89,222397367.38,Kartoshka
NTXM-149,0-20 sm,Yengil qum,36.4887896097399,26.0922986601439,7.17270876996058,0.446953884410817,53.62,27.4272247057562,295.382510566692,1.45,386.33,378.85,1.93,9.08,1.48,31.46,0.69,202516563.06,Kartoshka
TSPD-1998,0-30,Gill,30.4412187875695,16.0716528456889,6.54295319877124,0.599074822058624,13.71,24.9042300061822,196.22044709215,0.59,281.52,423.44,2.71,8.14,1.44,71.33,0.33,2603703293.77,Kartoshka
Karta-109,0-20 sm,Loy,39.5418740600296,20.7255358278494,6.57714542554233,0.298673701998801,71.64,17.2403040958558,181.102727178778,1.53,349.45,434.22,3.51,9.65,1.77,31.02,0.96,388569848.15,Kartoshka
NTTM-111,0-20 sm,Yengil qum,34.667104871907,18.3477131127495,6.64126602974583,0.46466136725942,16.38,28.2194110151551,198.595660554802,1.94,302.02,406.81,3.82,,1.32,18.68,0.19,133074504.26,Kartoshka
NMNX-382,0-30,Gill,23.3028781511903,26.4033341197765,7.42811000920394,0.257206169128086,12.32,29.8218930008007,204.73271755896,0.81,343.08,415.93,3.26,6.76,2.95,14.89,0.26,319259296.61,Kartoshka
NTXM-150,0-20 sm,Yengil qum,32.9076404743685,16.6541995009953,6.90204038611955,0.558945324300482,24.49,21.5904807035537,186.625292606695,2.16,294.12,388.29,3.2,7.88,1.16,22.18,1.05,1274647289.45,Kartoshka
TSPD-1999,0-20 sm,Yengil qum,33.178526892968,17.349087570051,6.17456091648169,0.251946485191026,30.17,25.6047530464382,224.359630744584,0.56,347.6,361.92,3.91,5.93,2.26,79.10,0.72,211056557.87,Kartoshka
Karta-110,0-20 sm,Yengil qum,36.9790800488784,24.7875907273756,6.15009233034027,0.455940483022927,26.36,29.2662276883833,269.178086269878,0.73,351.74,416.8,3.7,6.99,1.48,74.26,0.3,,Kartoshka
NTTM-112,0-20 sm,Loy,30.8825477664922,17.3955474668561,6.65448590440597,0.424666530437113,48.67,24.723624341839,195.248260666903,1.4,372.22,410.2,3.39,6.14,1.03,14.53,0.9,673387269.53,Kartoshka
NTXM-151,0-20 sm,Yengil qum,38.3982519003715,16.2500121955438,6.54600331564866,0.462194224176244,47.01,27.0812663821155,294.89784571231,1.29,382.96,412.96,1.45,9.38,,10.96,0.3,2626785971.61,Kartoshka
TSPD-2000,20-40 sm,Loy,35.2446953097238,21.811264766,6.17989609998223,0.535857035558412,60.28,19.3248151294973,191.207136415164,1.84,399.38,450.71,2.37,6.39,1.88,13.52,1.02,1138722555.1,Kartoshka
NMNX-745,0-20 sm,Loy,32.3021692591572,20.130672622716,6.8082599370983,0.466181309369647,42.33,28.3490573378188,164.002917863352,1.02,314.89,396.86,2.87,9.64,1.62,19.01,0.15,2617802909.7,Kartoshka
TSPD-2001,0-30,Gill,33.1803062228304,17.9653870767069,6.27656060044283,0.318457965493587,28,19.0722284171571,175.563911080867,0.65,347.97,398.64,2.22,10.15,2.02,29.46,0.29,2098167562.79,Kartoshka
Karta-112,0-20 sm,Yengil qum,25.899252411225,25.6184053398434,6.97657146157562,0.550670224685518,44.11,29.7922499649548,232.59146296532,1.31,387.31,427.27,2.02,8.36,1.16,39.37,0.41,798899630.33,Kartoshka
NTTM-114,0-20 sm,Loy,36.380370448395,16.4796802285046,7.44678568435075,0.244359654159777,15.5,26.9641873764409,288.317357042506,1.22,347.51,451.42,2.55,9.03,1.12,13.25,0.42,1201899433.88,Kartoshka
NMNX-987,0-30,Gill,25.8375730396982,18.7754853870783,6.58572059088209,0.291294140897557,58.34,18.87859923195,232.766847730678,0.49,369.11,361.35,0.92,8.86,1.43,20.77,0.52,2502090980.31,Bug'doy
NMNX-1108,0-20 sm,Yengil qum,29.9497846236194,26.0718167970978,6.92924205664225,0.595466264143175,33.12,19.1830008446695,158.843182268976,0.9,335.61,406.52,1.21,8.72,1.55,33.05,,770617122.02,Makkajo'xori
TSPD-2002,0-20 sm,Loy,24.9768244567952,21.1865097785973,6.557766682946,0.563713379473755,18.31,27.4449151198838,172.305196133251,,288.9,388.99,3.9,8.69,1.04,19.60,0.94,56620302.13,Sabzi
NTTM-115,0-20 sm,Yengil qum,35.9852431383442,17.3380823228428,7.18243216136777,0.26645260233297,40.09,28.3963622583086,280.004947478733,1.2,367.49,409.43,3.72,7.73,2.21,14.12,1.05,1176455260.96,Bug'doy
NMNX-1229,0-30,Gill,28.4396331219278,22.4415678266451,6.94411472093706,0.374463543087115,52.4,16.0262708065265,217.072676898271,1.98,362.51,427.92,1.82,9.1,1.4,23.59,0.7,675237654.85,Makkajo'xori
NMNX-134,0-20 sm,Yengil qum,36.7859067119274,23.2005350105858,6.50617658424035,0.411457388085522,66.41,23.9404292237151,260.37895722703,1.37,360.99,412.32,0.58,10.25,0.6,13.02,0.83,2436579760.4,Sabzi
NMNX-135,20-40 sm,Gill,28.2720719428109,25.2962863825978,7.16443983730204,0.255678897197095,24.39,16.9968856610472,250.682478407815,1.72,301.02,422.32,0.93,7.74,1.83,21.96,0.91,985681995.09,Bug'doy
NTTM-105,0-20 sm,Loy,37.4302461512073,26.4681640312757,7.15888484731217,0.368432171787148,33.82,18.10037314808,173.532437921291,1.04,350.46,370.38,2.67,8.19,2.39,16.50,1.1,133074504.26,Makkajo'xori
NMNX-255,0-20 sm,Loy,25.6969060356837,16.0956950990422,6.37588958352914,0.271120188883529,20.18,28.5893524125699,280.366076849241,1.13,326.57,387.42,3.81,8.28,0.83,26.61,0.36,133416010.31,Sabzi
,0-30,Gill,26.4083764772258,17.1915589732734,6.96202082008716,0.39688048016807,58.69,19.4151905290219,256.639602351115,,399.88,361.46,0.63,6.97,1.38,133.08,0.91,1491513443.58,Bug'doy
NTTM-106,0-20 sm,Loy,23.6027649275196,27.1583004724561,6.03520806024176,0.571412442715673,43.75,29.0471789650018,223.912112607298,1.81,310.68,411.36,,9.53,0.9,138.50,0.68,1467813343.66,Makkajo'xori
NTXM-145,0-20 sm,Yengil qum,34.429085181638,27.5783933633482,6.60763815411358,0.481842779762526,50.46,21.5115736487616,219.100480307915,1.03,331.57,420.94,0.56,8.49,,49.41,0.85,183286037.56,Sabzi
NMNX-137,0-20 sm,Yengil qum,25.7615404831956,28.809690608226,6.36718387153267,0.332555694066728,31.66,17.3355685748411,272.754366142746,2.27,333.62,416.28,2.44,9.5,2.41,51.77,0.37,361066200.2,Bug'doy
NTXM-146,0-20 sm,Yengil qum,23.032901028935,25.1267733595564,6.24711030742758,0.40428459110008,35.34,25.233523800515,255.89717596998,1.03,353.21,384.63,3.42,5.99,1.32,13.08,0.64,,Makkajo'xori
NTTM-107,0-30,Gill,27.4475663160268,29.3700587864596,6.19308543647144,0.402417922207152,59.45,15.4560325943227,242.775562250832,1.72,384.59,,1.7,9.09,1.55,9.53,0.22,1305972080.62,Sabzi
NMNX-257,0-20 sm,Yengil qum,22.4746422145659,29.8644709024658,6.37107036398017,0.450825787024574,31.45,28.3977928886075,218.090779211657,1.92,362.04,467.07,2.03,9.04,1.78,11.85,0.78,57471080.85,Bug'doy
NMNX-378,20-40 sm,Gill,28.9260015239,23.002917385989,7.3625628027743,0.524408910361575,58.32,20.2345685473717,169.457454412314,1.03,379.46,393.44,3.49,8.36,2.05,35.38,0.95,2178434542.63,Makkajo'xori
NTXM-146,0-30,Gill,34.4672278921065,21.3658903659138,6.07792936244667,0.21024966197378,31.44,28.1749676330146,191.778268681503,0.77,379.29,359.57,2.01,8.41,1.33,18.80,0.53,614932682.22,Sabzi
NTXM-147,0-20 sm,Yengil qum,37.8176132313333,26.4079678682249,6.11665400371076,0.281087645673922,21.93,29.8579033474406,254.626060566247,1.56,336.72,407.33,3.21,10.52,1.02,11.19,0.72,170852175.7,Bug'doy
NMNT-139,0-30,Gill,21.8695163373766,20.3246679297857,6.32087372481271,0.466984043679466,33.04,16.9998893934134,226.606587809492,1.67,318.74,417.5,1.08,7.61,2.18,12.23,0.32,1164599020.73,Makkajo'xori
NTTM-108,0-20 sm,Loy,22.3051356351662,22.5974126742863,7.2188100077126,0.575204517948398,15.72,17.2068932068014,248.744830707775,1.67,297.98,414.28,2.3,6.8,1,18.82,0.62,858003261.85,Sabzi
,0-20 sm,Yengil qum,38.7113239900726,25.3721411699823,7.49343535691484,0.294274073726878,18.64,24.8039232132878,166.239520523764,0.34,321.6,389.51,1.38,,2.06,60.01,0.33,140277593.06,Bug'doy
NTXM-147,0-30,Gill,22.087525163815,23.2676438182696,6.39838794195444,0.49319808232117,54.77,29.6857019010793,251.466884898179,,409.47,376.04,2.8,,2.55,86.26,0.69,388569848.15,Makkajo'xori
NTXM-148,0-20 sm,Yengil qum,23.8839744072508,20.2654383029916,6.62811685449187,0.343802881577914,49.24,25.2432732146076,265.469930038436,1.08,,444.06,2.13,5.71,1.38,74.56,0.72,133416010.31,Sabzi
NTTM-109,20-40 sm,Yengil qum,25.3341195776848,25.3352693455686,7.26416821220248,0.326685853736163,48.22,26.9710149486705,244.614601093426,1.61,334.53,428.93,0.96,9.49,1.33,70.50,1.14,1274647289.45,Bug'doy
NMNX-259,0-20 sm,Yengil qum,23.3923349888497,22.4898548479717,7.19338928126869,0.485761257104035,60.17,29.7249718612944,285.943890146467,0.72,347.16,431.07,2.36,7.3,2.56,95.77,1.16,327085523.89,Makkajo'xori
NMNX-380,0-20 sm,Loy,33.7287087408222,27.2622317025999,7.36626595851722,0.24046180232073,47.75,23.9312921179947,209.519528594808,1.12,381.85,,2.53,10.71,1.35,32.67,0.58,1629931302.79,Sabzi
NTXM-148,0-20 sm,Yengil qum,33.3102623887698,21.2339036486279,6.6563330815984,0.251261966276961,59.87,19.4832632305322,266.714839575768,0.41,402.58,447.8,1.49,,2.28,13.21,0.82,2466942986.55,Bug'doy
NMNX-140,0-20 sm,Yengil qum,28.0309733997353,19.2602662758332,6.145775910882,0.232745473519236,33.08,28.0054844285471,203.328160165372,1.19,331.42,451.56,1.23,,1.79,11.67,0.36,381591586.19,Makkajo'xori
NTTM-110,20-40 sm,Loy,39.5379559736413,15.6264052558125,6.8780657984836,0.542695786837222,55.37,26.7698180432098,231.171785914648,0.61,345.59,439.79,2.12,9.11,1.89,13.07,0.79,161378989.21,Sabzi
NMNX-260,0-30,Gill,36.0231512997417,17.4071752760887,7.04093715742169,0.256783472177121,36.97,16.8440210860789,156.311174636171,0.79,367.04,468.64,0.5,9.89,1.02,11.57,0.7,2260473170.06,Bug'doy
NMNX-381,0-20 sm,Loy,34.5448296226735,18.4458610507395,6.13976219959462,0.210072222328121,42.25,29.0928568048547,188.298014359453,0.79,330.74,419.83,2.48,9.4,3,15.00,0.6,,Makkajo'xori
NTXM-149,0-20 sm,Yengil qum,30.2153541541492,22.2847734769912,6.36608868751761,0.31772760567021,39.91,25.4126267120729,263.510346554453,0.96,389.44,437.95,1.4,9.05,1.1,8.44,0.59,537717970.13,Sabzi
NMNX-141,0-20 sm,Loy,24.1033827044734,25.0327176125575,6.32898274204825,0.223878020143518,34,19.0839877714575,248.697588625537,1.53,,421.83,0.77,6.58,2.03,16.96,,1907744144.52,Bug'doy
NTXM-150,0-30,Gill,23.548184122215,21.0152318296122,6.08973466641391,0.2538424314386,28.76,19.7984566393263,164.730255738942,1.92,339.45,421.76,2.55,5.77,0.89,13.05,0.97,,Bug'doy
NMNX-261,20-40 sm,Loy,31.0790884827917,19.6420060761179,7.14650181923654,0.546815870916761,30.35,21.7273746878679,153.50136863421,,339.48,439.65,3.12,6.36,1.66,20.81,0.54,1894594696.75,Bug'doy
,0-30,Yengil qum,39.5870990547446,27.9340793385881,6.30885640843785,0.538736016542806,16.36,28.347056330788,208.551395330656,1.93,327.4,395.33,2.59,7.26,2.34,65.27,0.52,169139430.25,Bug'doy
NTXM-150,0-30,Yengil qum,34.5936527068694,18.7602703471714,6.88343383911124,0.445657358032728,30.25,15.2455852982412,244.925258805098,1.54,330.3,418.76,3.56,8.78,2.53,17.64,0.86,391292889.81,Bug'doy
NTTM-112,0-30,Gill,38.56132807082,26.0125870449754,7.06757556874171,0.337568640048292,29.66,29.4772100839998,225.121910837765,1.74,292.77,381.45,3.55,8.45,2.97,15.70,1.07,114350848.33,Bug'doy
NMNX-624,0-30,Yengil qum,28.4374109330795,20.2497307347716,7.468954965604,0.475258824786386,30.77,25.9829932396523,238.680197722586,0.28,329.97,386.46,0.5,7.04,,14.85,0.44,419121576.93,Bug'doy
Karta-111,0-30,Gill,35.0835089802484,24.0097103722506,7.06045825083277,0.272181965683695,41.67,23.3795497680149,263.586508213546,1.77,342.96,440.02,3.87,7.21,,42.88,0.89,465760993.93,Bug'doy
TSPD-2001,0-30,Gill,24.846674457927,18.6884406247111,6.23236940663925,0.483061532936835,21.78,19.0407153501126,267.088177683628,1.5,321.35,460.99,2.12,8.74,2.21,16.06,1,1443583293.86,Bug'doy
NTTM-114,0-30,Gill,27.027590048868,29.7400648741528,6.6296158413182,0.469830349295118,24.18,27.749572395886,225.645102778115,1.75,325.95,402.64,2.91,9.74,2.5,20.75,0.79,1459701386.11,Bug'doy
NMNX-987,0-20 sm,Loyqa,26.0714375372561,25.2770377269806,7.36445102329562,0.207148636230992,49.33,20.5699099694969,265.135860362834,1.74,347.07,380.23,1.05,11.02,1.78,13.16,0.68,253119681.28,Kartoshka
,0-30,Gill,21.5359505812161,21.9929904675032,6.27507471611477,0.562653305113089,20.5,21.4577191991946,189.004537472444,1.88,298.17,432.35,3.7,8.82,1.92,13.40,0.56,1716825095.83,Kartoshka
TSPD-2002,0-30,Gill,22.983701152351,24.5137216618681,6.31641954436205,0.498039776278349,59.69,24.2474839845561,229.475695710536,0.77,,426.78,1.2,7.17,2.23,15.63,0.92,775034260.14,Kartoshka
NTTM-115,0-30,Gill,22.2454020690924,19.6644340073904,6.58206698509326,0.469286940129584,40.26,16.8280966423761,251.010111324301,1.29,329.78,411.27,2.13,8.6,1.34,27.08,1.11,69320588.39,Kartoshka
NMNX-1229,0-30,Gill,28.5323948996005,19.7446326815078,6.54597486810587,0.436496752637108,55.7,26.8993283433606,236.679133875495,1.15,376.96,461.86,2.21,7.45,1.9,33.34,0.84,1789134544.65,Kartoshka
TSPD-2003,0-20 sm,Loy,37.9230162738228,27.9755913265327,6.67581909569225,0.521679646759114,54.11,19.7362805322046,187.498819663493,1.98,,420.38,2.6,8.82,2.02,21.31,0.74,2096758568.44,Kartoshka
,0-20 sm,Loyqa,36.8525717522147,24.9497769192594,6.71682941343312,0.246620357398966,26.54,18.1334933402873,295.984051020086,1.24,360.61,446.33,3.49,7.56,2.23,38.20,1.08,2506113870.94,Kartoshka
NTXM-144,0-20 sm,Loy,36.5697460998579,20.8466513237903,7.08216492248807,0.221051014396972,19.06,26.0180226623055,279.572782077684,1.06,319.4,426.71,3.42,7.66,1.17,25.33,0.57,1655220343.28,Kartoshka
NMNX-136,0-20 sm,Loy,20.9186236071293,16.3377696175088,7.48124887509095,0.237128502674339,35.46,16.5189573012843,292.478182081996,1.11,366.76,420.54,2.41,8.48,1.66,11.52,1.12,536664547.79,Kartoshka
NTTM-106,0-20 sm,Yengil qum,20.4915966409701,16.3311298479531,7.10521098973878,0.558235776779965,41.82,28.8553082875017,164.78054597553,1.68,346.81,,2.42,8.82,2.04,15.44,1.02,,Kartoshka
,0-20 sm,Yengil qum,23.9829477752161,20.0995750417572,6.62140349455516,0.233010960921287,27.72,29.0478785977109,276.064484165159,1.79,389.38,398.85,3.11,7.24,2.26,15.03,0.92,267769462.79,Kartoshka
NMNX-618,0-20 sm,Yengil qum,26.9460495495216,16.24144862168,7.02640911196194,0.403619808955167,34.02,28.0205175288243,200.689095731992,0.55,341.62,423.41,2.04,9.4,,11.03,1.04,2417087893.82,Kartoshka
NTXM-146,0-20 sm,Loy,20.4223124487617,18.0452735641625,7.18843873510255,0.417601576903725,16.42,16.7432543703447,295.80747504825,0.92,316.27,447.66,0.66,7.41,1.55,10.86,0.97,,Kartoshka
NMNT-138,0-20 sm,Yengil qum,33.166740182628,15.8329125045069,6.98838581440383,0.577447075949343,23.25,16.2448196582263,156.478916247921,1.1,289.55,445.83,1.21,8.52,1.8,19.64,0.87,,Kartoshka
NMNX-498,0-30,Loyqa,38.4257006958298,18.5350295755525,7.02345857134249,0.466464348188129,41.74,24.4221297569699,235.757494981516,1.97,376,448.55,3.5,6.01,,10.32,0.94,574453380.89,Kartoshka
NMNX-619,0-30,Gill,28.0469115747167,27.9146750121119,6.24862178537744,0.202161629590282,61.97,25.241640115242,257.080693727823,2.41,379.27,406.66,2.18,5.5,2.42,22.18,0.77,97208008.16,Kartoshka
NMNT-139,0-20 sm,Loy,36.4348407848805,25.8531263528228,7.44465387048739,0.203752962155642,19.65,20.322855797905,284.149459284952,1.23,,400.53,1.86,7.52,1.94,98.06,0.99,982798103.73,Kartoshka
NMNX-620,0-30,Gill,37.9316563033963,24.3600197386128,6.72006991255458,0.234550701695149,15.39,16.3122187800008,203.705086596334,0.9,,399.03,3.29,8.09,1.74,11.65,0.54,115627570.41,Kartoshka
NTXM-147,0-20 sm,Yengil qum,24.859582254891,21.4766116041001,7.35237804794501,0.252394966281263,36.78,28.4976694973319,287.018215535115,1.32,356.66,379.99,1.89,8.53,1.46,29.01,0.98,1742108801.44,Kartoshka
NMNX-139,0-20 sm,Yengil qum,37.8044185503322,18.2013750798556,6.11789199110915,0.565126331423576,18.69,21.52033659044,249.15755763915,0.76,302.88,355.84,3.23,8.44,1.56,24.25,0.46,980710821.94,Kartoshka
NTXM-148,0-20 sm,Gill,23.8631783789249,22.0920601802885,6.8759495753358,0.438429320648127,54.14,22.2426871344991,235.258636103261,,352.41,435.51,0.86,9.38,2.03,53.32,0.96,605148748.78,Kartoshka
NTXM-148,0-20 sm,Gill,38.6318797016025,20.6111662250426,6.05243053846421,0.550992792541216,15.84,16.7732497300507,160.471577893658,1.52,312.03,466.89,1.52,10.18,,14.78,1.19,,Kartoshka
NMNX-140,0-20 sm,Gill,27.7886687732636,28.6411682562672,6.05608603572482,0.383534506305476,51.44,24.3244622583404,275.613107128518,1.25,340.64,409.08,3.34,9.55,1.56,16.13,1.33,1281434988.25,Kartoshka
NMNT-141,0-20 sm,Gill,27.9684652752254,18.8934975536644,7.12316044370587,0.34723904792068,32.79,20.6629833725157,260.012231566045,2.18,291.98,467.52,3.89,9.2,1.55,31.95,1.04,383609065.6,Kartoshka
NTTM-110,0-20 sm,Gill,24.6092924998792,16.2994730464074,7.37155207452758,0.361164307492516,42.8,28.0471447994538,161.934521537295,0.65,339.55,432.04,1.37,6.3,,23.09,1.03,986269486.7,Kartoshka
NMNX-622,0-20 sm,Gill,31.9700510090124,25.0735449550808,6.38398196396977,0.256094633534454,33.19,29.6768484171789,172.155863700345,0.6,328.8,380.33,0.5,7.74,2.32,7.29,1.14,961480780.39,Kartoshka
NTXM-149,0-20 sm,Gill,28.4057134726922,26.5911618183629,6.95204164149261,0.316428073213883,60.76,26.4517184868462,183.082132007497,1.55,363.1,461.48,3.9,8.18,1.42,7.42,0.88,,Kartoshka
NTXM-150,0-20 sm,Gill,21.6201746728281,15.2299449505859,6.47901253052487,0.503422598278287,50.71,22.0818418713204,166.415526643866,1.09,353.18,426.16,1.22,9.08,2.05,29.85,0.85,1885638135.12,Kartoshka
NMNT-142,0-20 sm,Gill,39.8843054993292,20.5986230877004,7.35956929289275,0.468664247476003,16.7,15.254509310014,271.882795776708,1.9,277.4,397.4,0.56,6.59,1.17,24.00,1.11,,Kartoshka
NMNX-623,0-20 sm,Loyqa,22.4602617450921,29.8265722718856,6.73750297129165,0.221047614993909,21.14,17.5873185881801,176.141405520057,0.28,339.74,442,3.76,5.75,1.86,21.73,0.71,1824154646.46,Kartoshka
NTXM-150,0-20 sm,Gill,21.6988132703653,17.7162522684964,6.98756864923343,0.363189206230518,16.29,18.5473138822478,175.997229440382,2.15,323.58,388.16,1.67,,0.9,21.79,1.3,678256059.39,Kartoshka
NMNX-142,0-20 sm,Gill,30.1189579296503,19.0424584771547,6.21319973837122,0.335398788714404,50.59,15.2609951324988,246.795994287752,1.68,369.48,426.98,1.88,7.58,1.9,18.17,0.63,155907355.47,Kartoshka
NTXM-151,0-20 sm,Gill,33.453050130243,26.3525313065515,6.27320873231337,0.539168309738822,25.34,24.1726249024813,199.437027714153,0.96,336.7,462.99,3.52,8.51,2.13,18.47,1.08,785803298.39,Kartoshka
NMNX-624,0-20 sm,Gill,20.8407065956959,17.964103155193,6.32688270679011,0.591985117921901,18.49,22.1154506813845,276.101768499535,1.03,321.87,460.72,3.6,7.03,2.67,32.17,1.24,,Kartoshka
NTTM-113,0-20 sm,Gill,28.2968865131909,16.081267673581,6.12244608487667,0.438161327969917,63.41,26.7398065066869,262.63480055843,1.23,429.91,406.01,1.33,9.41,2.07,26.51,0.77,502357439.73,Kartoshka
NMNX-745,0-20 sm,Gill,23.576335810377,24.342938117927,6.90261971486716,0.309708375707531,61.33,15.6923486218795,157.048025817448,1.01,427.88,442.84,2.85,9.4,1.36,25.04,1.11,1756389589.99,Kartoshka
NMNX-866,0-20 sm,Gill,38.5998662202939,29.2292732075983,7.25258795542745,0.549382786613878,43.03,16.7300042837549,290.621859885407,2.56,334.42,377.19,1.45,6.88,,13.84,0.9,193028797.22,Kartoshka
