"Sample","Layer (cm)","Mechanical Composition","FC (%)","Soil Density (g/cm³)","pH","Soil EC (mS/cm)","Nitrogen (mg/kg)","Phosphorus (mg/kg)","Potassium (mg/kg)","Humus (%)","Mg (mg/kg)","S (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","B (mg/kg)","Fe (mg/kg)","Cu (mg/kg)","Microorganisms (CFU/g)","crop"
"NMNX-137","0-30","Gill","34.443313907809","23.782732633222","6.1298655598801","0.37612065778066","42.81","28.191012070974","223.44269390495","2.01","349.67","35.05","3.21","7.99","1.29","45.40","0.47","1462955360.08",""
"NTXM-146","0-20 sm","Loy","21.219275839587","26.396863512916","6.5496049496637","0.49874946450799","58.94","28.075879367774","172.00154640366","0.92","","55.48","3.6","7.58","2.18","87.45","0.68","1757643840.86","Bug'doy"
"NTTM-107","0-20 sm","Gill","26.576689674718","21.035941696216","7.2347890529253","0.48828800839139","38.82","22.305570901603","231.94702535336","2.02","382.76","469.31","2.1","7.86","","62.96","0.7","525777027.61","Bug'doy"
"NMNX-137","0-20 sm","Qum","33.683667549852","26.851505752623","6.1892459145923","0.36764575500696","72.8","15.739417287266","210.48416690904","1.49","406.23","448.35","1.5","9.75","1.87","19.76","0.74","1787403719.78",""
"","0-20 sm","Gill","36.997702136805","24.404966904497","6.856645416116","0.30074678523422","16.68","24.585258326354","269.50280793146","0.81","274.53","437.27","2.51","6.55","2.08","13.81","0.59","672566536.1","Bug'doy"
"","0-20 sm","Qum","39.831181323195","17.195926987601","6.966845360399","0.24514030704121","43.03","16.082431612948","156.94803889025","1.73","403.58","379.64","1.87","6.2","1.99","19.61","0.93","554719975.18","Bug'doy"
"NTXM-147","20-40 sm","Gill","29.687516211051","29.378604296141","6.2743013772958","0.34447844807806","32.92","25.036741266236","174.06469061342","0.82","327.9","444.03","1.29","9.95","1.47","12.29","0.83","2929507587.65","Bug'doy"
"NMNT-139","0-20 sm","Loy","23.635315492063","17.324260412042","6.241591829777","0.53807431012836","34.05","24.612487712041","203.27745594066","1.75","332.2","428.32","1.62","8.7","1.77","15.21","0.82","633195480.86","Bug'doy"
"NTTM-108","0-20 sm","Gill","36.973179434022","29.0761421924","7.2152865760399","0.37941541537913","33.95","29.910289409","272.36694285903","1.94","","392.51","1.31","7.3","2.62","25.05","0.51","978990984.32","Bug'doy"
"NMNT-140","20-40 sm","Qum","37.207201395783","26.615233128144","6.7665636204547","0.42709940788751","36.41","26.286533074777","153.66233510685","1.58","287.84","428.86","3.26","6.68","2.62","39.11","1.19","2467136767.13","Bug'doy"
"NMNX-139","0-20 sm","Qum","34.348803828705","28.308682892906","7.4191280668151","0.58853086047851","22.41","19.597540005231","206.3373653431","1.68","279.56","419.22","2.19","9.53","1.56","21.08","0.74","388569848.15","Paxta"
"NMNX-140","0-20 sm","Gill","27.679109368345","19.847967572206","6.1554561376148","0.43097347383385","48.79","29.576946799736","157.44246599959","1.45","385.04","401.55","1.65","8.15","2.53","23.21","0.7","133416010.31","Bug'doy"
"NTXM-149","20-40 sm","Qum","21.265709920604","15.020218639906","7.0372933689324","0.5468471782989","13.83","26.425475435264","270.38713909409","2.13","322.09","457.09","3.73","9.16","1.5","32.73","0.47","319259296.61","Bug'doy"
"NMNT-141","0-20 sm","Loy","29.76374954894","26.221931231065","6.2588694473589","0.29763814857722","60.59","27.238078557511","277.14490000548","2","404.43","418.15","0.83","8.17","2.41","18.93","0.89","1274647289.45",""
"NMNX-19","0-20 sm","Loy","27.654528909036","26.226959661204","7.3413024107112","0.41043866099594","24.14","19.800710598693","205.63264950682","1.57","297.47","398.38","1.83","7.71","1.52","49.18","0.64","666341544.79","Bug'doy"
"NMNX-140","0-30","Gill","35.882491077587","17.0233423131","6.4481250623072","0.44636011257665","18.25","29.432420191019","255.46440958618","1.79","308.81","477.77","1.59","8.69","0.94","39.74","0.89","222397367.38","Sabzi"
"NTXM-149","0-20 sm","Yengil qum","36.48878960974","26.092298660144","7.1727087699606","0.44695388441082","53.62","27.427224705756","295.38251056669","1.45","386.33","378.85","1.93","9.08","1.48","31.46","0.69","202516563.06","Bug'doy"
"TSPD-1998","0-30","Gill","30.44121878757","16.071652845689","6.5429531987712","0.59907482205862","13.71","24.904230006182","196.22044709215","0.59","281.52","423.44","2.71","8.14","1.44","71.33","0.33","2603703293.77","Makkajo'xori"
"Karta-109","0-20 sm","Loy","39.54187406003","20.725535827849","6.5771454255423","0.2986737019988","71.64","17.240304095856","181.10272717878","1.53","349.45","434.22","3.51","9.65","1.77","31.02","0.96","388569848.15","Sabzi"
"NTTM-111","0-20 sm","Yengil qum","34.667104871907","18.347713112749","6.6412660297458","0.46466136725942","16.38","28.219411015155","198.5956605548","1.94","302.02","406.81","3.82","","1.32","18.68","0.19","133074504.26","Bug'doy"
"NMNX-382","0-30","Gill","23.30287815119","26.403334119776","7.4281100092039","0.25720616912809","12.32","29.821893000801","204.73271755896","0.81","343.08","415.93","3.26","6.76","2.95","14.89","0.26","319259296.61","Makkajo'xori"
"NTXM-150","0-20 sm","Yengil qum","32.907640474368","16.654199500995","6.9020403861196","0.55894532430048","24.49","21.590480703554","186.6252926067","2.16","294.12","388.29","3.2","7.88","1.16","22.18","1.05","1274647289.45","Sabzi"
"TSPD-1999","0-20 sm","Yengil qum","33.178526892968","17.349087570051","6.1745609164817","0.25194648519103","30.17","25.604753046438","224.35963074458","0.56","347.6","361.92","3.91","5.93","2.26","79.10","0.72","211056557.87","Bug'doy"
"Karta-110","0-20 sm","Yengil qum","36.979080048878","24.787590727376","6.1500923303403","0.45594048302293","26.36","29.266227688383","269.17808626988","0.73","351.74","416.8","3.7","6.99","1.48","74.26","0.3","","Makkajo'xori"
"NTTM-112","0-20 sm","Loy","30.882547766492","17.395547466856","6.654485904406","0.42466653043711","48.67","24.723624341839","195.2482606669","1.4","372.22","410.2","3.39","6.14","1.03","14.53","0.9","673387269.53","Sabzi"
"NTXM-151","0-20 sm","Yengil qum","38.398251900371","16.250012195544","6.5460033156487","0.46219422417624","47.01","27.081266382116","294.89784571231","1.29","382.96","412.96","1.45","9.38","","10.96","0.3","2626785971.61","Bug'doy"
"TSPD-2000","20-40 sm","Loy","35.244695309724","21.811264766","6.1798960999822","0.53585703555841","60.28","19.324815129497","191.20713641516","1.84","399.38","450.71","2.37","6.39","1.88","13.52","1.02","1138722555.1","Makkajo'xori"
"NMNX-745","0-20 sm","Loy","32.302169259157","20.130672622716","6.8082599370983","0.46618130936965","42.33","28.349057337819","164.00291786335","1.02","314.89","396.86","2.87","9.64","1.62","19.01","0.15","2617802909.7","Sabzi"
"TSPD-2001","0-30","Gill","33.18030622283","17.965387076707","6.2765606004428","0.31845796549359","28","19.072228417157","175.56391108087","0.65","347.97","398.64","2.22","10.15","2.02","29.46","0.29","2098167562.79","Bug'doy"
"Karta-112","0-20 sm","Yengil qum","25.899252411225","25.618405339843","6.9765714615756","0.55067022468552","44.11","29.792249964955","232.59146296532","1.31","387.31","427.27","2.02","8.36","1.16","39.37","0.41","798899630.33","Makkajo'xori"
"NTTM-114","0-20 sm","Loy","36.380370448395","16.479680228505","7.4467856843507","0.24435965415978","15.5","26.964187376441","288.31735704251","1.22","347.51","451.42","2.55","9.03","1.12","13.25","0.42","1201899433.88","Sabzi"
"NMNX-987","0-30","Gill","25.837573039698","18.775485387078","6.5857205908821","0.29129414089756","58.34","18.87859923195","232.76684773068","0.49","369.11","361.35","0.92","8.86","1.43","20.77","0.52","2502090980.31","Bug'doy"
"NMNX-1108","0-20 sm","Yengil qum","29.949784623619","26.071816797098","6.9292420566423","0.59546626414318","33.12","19.18300084467","158.84318226898","0.9","335.61","406.52","1.21","8.72","1.55","33.05","","770617122.02","Makkajo'xori"
"TSPD-2002","0-20 sm","Loy","24.976824456795","21.186509778597","6.557766682946","0.56371337947375","18.31","27.444915119884","172.30519613325","","288.9","388.99","3.9","8.69","1.04","19.60","0.94","56620302.13","Sabzi"
"NTTM-115","0-20 sm","Yengil qum","35.985243138344","17.338082322843","7.1824321613678","0.26645260233297","40.09","28.396362258309","280.00494747873","1.2","367.49","409.43","3.72","7.73","2.21","14.12","1.05","1176455260.96","Bug'doy"
"NMNX-1229","0-30","Gill","28.439633121928","22.441567826645","6.9441147209371","0.37446354308711","52.4","16.026270806527","217.07267689827","1.98","362.51","427.92","1.82","9.1","1.4","23.59","0.7","675237654.85","Makkajo'xori"
"NMNX-134","0-20 sm","Yengil qum","36.785906711927","23.200535010586","6.5061765842404","0.41145738808552","66.41","23.940429223715","260.37895722703","1.37","360.99","412.32","0.58","10.25","0.6","13.02","0.83","2436579760.4","Sabzi"
"NMNX-135","20-40 sm","Gill","28.272071942811","25.296286382598","7.164439837302","0.2556788971971","24.39","16.996885661047","250.68247840782","1.72","301.02","422.32","0.93","7.74","1.83","21.96","0.91","985681995.09","Bug'doy"
"NTTM-105","0-20 sm","Loy","37.430246151207","26.468164031276","7.1588848473122","0.36843217178715","33.82","18.10037314808","173.53243792129","1.04","350.46","370.38","2.67","8.19","2.39","16.50","1.1","133074504.26","Makkajo'xori"
"NMNX-255","0-20 sm","Loy","25.696906035684","16.095695099042","6.3758895835291","0.27112018888353","20.18","28.58935241257","280.36607684924","1.13","326.57","387.42","3.81","8.28","0.83","26.61","0.36","133416010.31","Sabzi"
"","0-30","Gill","26.408376477226","17.191558973273","6.9620208200872","0.39688048016807","58.69","19.415190529022","256.63960235112","","399.88","361.46","0.63","6.97","1.38","133.08","0.91","1491513443.58","Bug'doy"
"NTTM-106","0-20 sm","Loy","23.60276492752","27.158300472456","6.0352080602418","0.57141244271567","43.75","29.047178965002","223.9121126073","1.81","310.68","411.36","","9.53","0.9","138.50","0.68","1467813343.66","Makkajo'xori"
"NTXM-145","0-20 sm","Yengil qum","34.429085181638","27.578393363348","6.6076381541136","0.48184277976253","50.46","21.511573648762","219.10048030792","1.03","331.57","420.94","0.56","8.49","","49.41","0.85","183286037.56","Sabzi"
"NMNX-137","0-20 sm","Yengil qum","25.761540483196","28.809690608226","6.3671838715327","0.33255569406673","31.66","17.335568574841","272.75436614275","2.27","333.62","416.28","2.44","9.5","2.41","51.77","0.37","361066200.2","Bug'doy"
"NTXM-146","0-20 sm","Yengil qum","23.032901028935","25.126773359556","6.2471103074276","0.40428459110008","35.34","25.233523800515","255.89717596998","1.03","353.21","384.63","3.42","5.99","1.32","13.08","0.64","","Makkajo'xori"
"NTTM-107","0-30","Gill","27.447566316027","29.37005878646","6.1930854364714","0.40241792220715","59.45","15.456032594323","242.77556225083","1.72","384.59","","1.7","9.09","1.55","9.53","0.22","1305972080.62","Sabzi"
"NMNX-257","0-20 sm","Yengil qum","22.474642214566","29.864470902466","6.3710703639802","0.45082578702457","31.45","28.397792888608","218.09077921166","1.92","362.04","467.07","2.03","9.04","1.78","11.85","0.78","57471080.85","Bug'doy"
"NMNX-378","20-40 sm","Gill","28.9260015239","23.002917385989","7.3625628027743","0.52440891036157","58.32","20.234568547372","169.45745441231","1.03","379.46","393.44","3.49","8.36","2.05","35.38","0.95","2178434542.63","Makkajo'xori"
"NTXM-146","0-30","Gill","34.467227892107","21.365890365914","6.0779293624467","0.21024966197378","31.44","28.174967633015","191.7782686815","0.77","379.29","359.57","2.01","8.41","1.33","18.80","0.53","614932682.22","Sabzi"
"NTXM-147","0-20 sm","Yengil qum","37.817613231333","26.407967868225","6.1166540037108","0.28108764567392","21.93","29.857903347441","254.62606056625","1.56","336.72","407.33","3.21","10.52","1.02","11.19","0.72","170852175.7","Bug'doy"
"NMNT-139","0-30","Gill","21.869516337377","20.324667929786","6.3208737248127","0.46698404367947","33.04","16.999889393413","226.60658780949","1.67","318.74","417.5","1.08","7.61","2.18","12.23","0.32","1164599020.73","Makkajo'xori"
"NTTM-108","0-20 sm","Loy","22.305135635166","22.597412674286","7.2188100077126","0.5752045179484","15.72","17.206893206801","248.74483070778","1.67","297.98","414.28","2.3","6.8","1","18.82","0.62","858003261.85","Sabzi"
"","0-20 sm","Yengil qum","38.711323990073","25.372141169982","7.4934353569148","0.29427407372688","18.64","24.803923213288","166.23952052376","0.34","321.6","389.51","1.38","","2.06","60.01","0.33","140277593.06","Bug'doy"
"NTXM-147","0-30","Gill","22.087525163815","23.26764381827","6.3983879419544","0.49319808232117","54.77","29.685701901079","251.46688489818","","409.47","376.04","2.8","","2.55","86.26","0.69","388569848.15","Makkajo'xori"
"NTXM-148","0-20 sm","Yengil qum","23.883974407251","20.265438302992","6.6281168544919","0.34380288157791","49.24","25.243273214608","265.46993003844","1.08","","444.06","2.13","5.71","1.38","74.56","0.72","133416010.31","Sabzi"
"NTTM-109","20-40 sm","Yengil qum","25.334119577685","25.335269345569","7.2641682122025","0.32668585373616","48.22","26.971014948671","244.61460109343","1.61","334.53","428.93","0.96","9.49","1.33","70.50","1.14","1274647289.45","Bug'doy"
"NMNX-259","0-20 sm","Yengil qum","23.39233498885","22.489854847972","7.1933892812687","0.48576125710404","60.17","29.724971861294","285.94389014647","0.72","347.16","431.07","2.36","7.3","2.56","95.77","1.16","327085523.89","Makkajo'xori"
"NMNX-380","0-20 sm","Loy","33.728708740822","27.2622317026","7.3662659585172","0.24046180232073","47.75","23.931292117995","209.51952859481","1.12","381.85","","2.53","10.71","1.35","32.67","0.58","1629931302.79","Sabzi"
"NTXM-148","0-20 sm","Yengil qum","33.31026238877","21.233903648628","6.6563330815984","0.25126196627696","59.87","19.483263230532","266.71483957577","0.41","402.58","447.8","1.49","","2.28","13.21","0.82","2466942986.55","Bug'doy"
"NMNX-140","0-20 sm","Yengil qum","28.030973399735","19.260266275833","6.145775910882","0.23274547351924","33.08","28.005484428547","203.32816016537","1.19","331.42","451.56","1.23","","1.79","11.67","0.36","381591586.19","Makkajo'xori"
"NTTM-110","20-40 sm","Loy","39.537955973641","15.626405255813","6.8780657984836","0.54269578683722","55.37","26.76981804321","231.17178591465","0.61","345.59","439.79","2.12","9.11","1.89","13.07","0.79","161378989.21","Sabzi"
"NMNX-260","0-30","Gill","36.023151299742","17.407175276089","7.0409371574217","0.25678347217712","36.97","16.844021086079","156.31117463617","0.79","367.04","468.64","0.5","9.89","1.02","11.57","0.7","2260473170.06","Bug'doy"
"NMNX-381","0-20 sm","Loy","34.544829622673","18.445861050739","6.1397621995946","0.21007222232812","42.25","29.092856804855","188.29801435945","0.79","330.74","419.83","2.48","9.4","3","15.00","0.6","","Makkajo'xori"
"NTXM-149","0-20 sm","Yengil qum","30.215354154149","22.284773476991","6.3660886875176","0.31772760567021","39.91","25.412626712073","263.51034655445","0.96","389.44","437.95","1.4","9.05","1.1","8.44","0.59","537717970.13","Sabzi"
"NMNX-141","0-20 sm","Loy","24.103382704473","25.032717612558","6.3289827420483","0.22387802014352","34","19.083987771458","248.69758862554","1.53","","421.83","0.77","6.58","2.03","16.96","","1907744144.52","Bug'doy"
"NTXM-150","0-30","Gill","23.548184122215","21.015231829612","6.0897346664139","0.2538424314386","28.76","19.798456639326","164.73025573894","1.92","339.45","421.76","2.55","5.77","0.89","13.05","0.97","","Bug'doy"
"NMNX-261","20-40 sm","Loy","31.079088482792","19.642006076118","7.1465018192365","0.54681587091676","30.35","21.727374687868","153.50136863421","","339.48","439.65","3.12","6.36","1.66","20.81","0.54","1894594696.75","Bug'doy"
"","0-30","Yengil qum","39.587099054745","27.934079338588","6.3088564084379","0.53873601654281","16.36","28.347056330788","208.55139533066","1.93","327.4","395.33","2.59","7.26","2.34","65.27","0.52","169139430.25","Bug'doy"
"NTXM-150","0-30","Yengil qum","34.593652706869","18.760270347171","6.8834338391112","0.44565735803273","30.25","15.245585298241","244.9252588051","1.54","330.3","418.76","3.56","8.78","2.53","17.64","0.86","391292889.81","Bug'doy"
"NTTM-112","0-30","Gill","38.56132807082","26.012587044975","7.0675755687417","0.33756864004829","29.66","29.477210084","225.12191083777","1.74","292.77","381.45","3.55","8.45","2.97","15.70","1.07","114350848.33","Bug'doy"
"NMNX-624","0-30","Yengil qum","28.43741093308","20.249730734772","7.468954965604","0.47525882478639","30.77","25.982993239652","238.68019772259","0.28","329.97","386.46","0.5","7.04","","14.85","0.44","419121576.93","Bug'doy"
"Karta-111","0-30","Gill","35.083508980248","24.009710372251","7.0604582508328","0.2721819656837","41.67","23.379549768015","263.58650821355","1.77","342.96","440.02","3.87","7.21","","42.88","0.89","465760993.93","Bug'doy"
"TSPD-2001","0-30","Gill","24.846674457927","18.688440624711","6.2323694066392","0.48306153293684","21.78","19.040715350113","267.08817768363","1.5","321.35","460.99","2.12","8.74","2.21","16.06","1","1443583293.86","Bug'doy"
"NTTM-114","0-30","Gill","27.027590048868","29.740064874153","6.6296158413182","0.46983034929512","24.18","27.749572395886","225.64510277811","1.75","325.95","402.64","2.91","9.74","2.5","20.75","0.79","1459701386.11","Bug'doy"
"NMNX-987","0-20 sm","Loy","26.071437537256","25.277037726981","7.3644510232956","0.20714863623099","49.33","20.569909969497","265.13586036283","1.74","347.07","380.23","1.05","11.02","1.78","13.16","0.68","253119681.28",""
"","0-30","Gill","21.535950581216","21.992990467503","6.2750747161148","0.56265330511309","20.5","21.457719199195","189.00453747244","1.88","298.17","432.35","3.7","8.82","1.92","13.40","0.56","1716825095.83","Bug'doy"
"TSPD-2002","0-30","Gill","22.983701152351","24.513721661868","6.3164195443621","0.49803977627835","59.69","24.247483984556","229.47569571054","0.77","","426.78","1.2","7.17","2.23","15.63","0.92","775034260.14","Bug'doy"
"NTTM-115","0-30","Gill","22.245402069092","19.66443400739","6.5820669850933","0.46928694012958","40.26","16.828096642376","251.0101113243","1.29","329.78","411.27","2.13","8.6","1.34","27.08","1.11","69320588.39","Bug'doy"
"NMNX-1229","0-30","Gill","28.532394899601","19.744632681508","6.5459748681059","0.43649675263711","55.7","26.899328343361","236.6791338755","1.15","376.96","461.86","2.21","7.45","1.9","33.34","0.84","1789134544.65","Bug'doy"
"TSPD-2003","0-20 sm","Loy","37.923016273823","27.975591326533","6.6758190956923","0.52167964675911","54.11","19.736280532205","187.49881966349","1.98","","420.38","2.6","8.82","2.02","21.31","0.74","2096758568.44","Bug'doy"
"","0-20 sm","Yengil qum","36.852571752215","24.949776919259","6.7168294134331","0.24662035739897","26.54","18.133493340287","295.98405102009","1.24","360.61","446.33","3.49","7.56","2.23","38.20","1.08","2506113870.94",""
"NTXM-144","0-20 sm","Loy","36.569746099858","20.84665132379","7.0821649224881","0.22105101439697","19.06","26.018022662306","279.57278207768","1.06","319.4","426.71","3.42","7.66","1.17","25.33","0.57","1655220343.28","Bug'doy"
"NMNX-136","0-20 sm","Loy","20.918623607129","16.337769617509","7.4812488750909","0.23712850267434","35.46","16.518957301284","292.478182082","1.11","366.76","420.54","2.41","8.48","1.66","11.52","1.12","536664547.79","Bug'doy"
"NTTM-106","0-20 sm","Yengil qum","20.49159664097","16.331129847953","7.1052109897388","0.55823577677997","41.82","28.855308287502","164.78054597553","1.68","346.81","","2.42","8.82","2.04","15.44","1.02","","Bug'doy"
"","0-20 sm","Yengil qum","23.982947775216","20.099575041757","6.6214034945552","0.23301096092129","27.72","29.047878597711","276.06448416516","1.79","389.38","398.85","3.11","7.24","2.26","15.03","0.92","267769462.79","Bug'doy"
"NMNX-618","0-20 sm","Yengil qum","26.946049549522","16.24144862168","7.0264091119619","0.40361980895517","34.02","28.020517528824","200.68909573199","0.55","341.62","423.41","2.04","9.4","","11.03","1.04","2417087893.82","Bug'doy"
"NTXM-146","0-20 sm","Loy","20.422312448762","18.045273564162","7.1884387351026","0.41760157690373","16.42","16.743254370345","295.80747504825","0.92","316.27","447.66","0.66","7.41","1.55","10.86","0.97","","Bug'doy"
"NMNT-138","0-20 sm","Yengil qum","33.166740182628","15.832912504507","6.9883858144038","0.57744707594934","23.25","16.244819658226","156.47891624792","1.1","289.55","445.83","1.21","8.52","1.8","19.64","0.87","","Bug'doy"
"NMNX-498","0-30","Gill","38.42570069583","18.535029575552","7.0234585713425","0.46646434818813","41.74","24.42212975697","235.75749498152","1.97","376","448.55","3.5","6.01","","10.32","0.94","574453380.89",""
"NMNX-619","0-30","Gill","28.046911574717","27.914675012112","6.2486217853774","0.20216162959028","61.97","25.241640115242","257.08069372782","2.41","379.27","406.66","2.18","5.5","2.42","22.18","0.77","97208008.16","Bug'doy"
"NMNT-139","0-20 sm","Loy","36.43484078488","25.853126352823","7.4446538704874","0.20375296215564","19.65","20.322855797905","284.14945928495","1.23","","400.53","1.86","7.52","1.94","98.06","0.99","982798103.73","Bug'doy"
"NMNX-620","0-30","Gill","37.931656303396","24.360019738613","6.7200699125546","0.23455070169515","15.39","16.312218780001","203.70508659633","0.9","","399.03","3.29","8.09","1.74","11.65","0.54","115627570.41","Bug'doy"
"NTXM-147","0-20 sm","Yengil qum","24.859582254891","21.4766116041","7.352378047945","0.25239496628126","36.78","28.497669497332","287.01821553512","1.32","356.66","379.99","1.89","8.53","1.46","29.01","0.98","1742108801.44","Bug'doy"
"NMNX-139","0-20 sm","Yengil qum","37.804418550332","18.201375079856","6.1178919911091","0.56512633142358","18.69","21.52033659044","249.15755763915","0.76","302.88","355.84","3.23","8.44","1.56","24.25","0.46","980710821.94","Bug'doy"
"NTXM-148","0-20 sm","Gill","23.863178378925","22.092060180288","6.8759495753358","0.43842932064813","54.14","22.242687134499","235.25863610326","","352.41","435.51","0.86","9.38","2.03","53.32","0.96","605148748.78","Bug'doy"
"NTXM-148","0-20 sm","Gill","38.631879701603","20.611166225043","6.0524305384642","0.55099279254122","15.84","16.773249730051","160.47157789366","1.52","312.03","466.89","1.52","10.18","","14.78","1.19","","Bug'doy"
"NMNX-140","0-20 sm","Gill","27.788668773264","28.641168256267","6.0560860357248","0.38353450630548","51.44","24.32446225834","275.61310712852","1.25","340.64","409.08","3.34","9.55","1.56","16.13","1.33","1281434988.25","Bug'doy"
"NMNT-141","0-20 sm","Gill","27.968465275225","18.893497553664","7.1231604437059","0.34723904792068","32.79","20.662983372516","260.01223156604","2.18","291.98","467.52","3.89","9.2","1.55","31.95","1.04","383609065.6","Bug'doy"
"NTTM-110","0-20 sm","Gill","24.609292499879","16.299473046407","7.3715520745276","0.36116430749252","42.8","28.047144799454","161.9345215373","0.65","339.55","432.04","1.37","6.3","","23.09","1.03","986269486.7","Bug'doy"
"NMNX-622","0-20 sm","Gill","31.970051009012","25.073544955081","6.3839819639698","0.25609463353445","33.19","29.676848417179","172.15586370035","0.6","328.8","380.33","0.5","7.74","2.32","7.29","1.14","961480780.39","Bug'doy"
"NTXM-149","0-20 sm","Gill","28.405713472692","26.591161818363","6.9520416414926","0.31642807321388","60.76","26.451718486846","183.0821320075","1.55","363.1","461.48","3.9","8.18","1.42","7.42","0.88","","Bug'doy"
"NTXM-150","0-20 sm","Gill","21.620174672828","15.229944950586","6.4790125305249","0.50342259827829","50.71","22.08184187132","166.41552664387","1.09","353.18","426.16","1.22","9.08","2.05","29.85","0.85","1885638135.12","Bug'doy"
"NMNT-142","0-20 sm","Gill","39.884305499329","20.5986230877","7.3595692928927","0.468664247476","16.7","15.254509310014","271.88279577671","1.9","277.4","397.4","0.56","6.59","1.17","24.00","1.11","","Bug'doy"
"NMNX-623","0-20 sm","Gill","22.460261745092","29.826572271886","6.7375029712916","0.22104761499391","21.14","17.58731858818","176.14140552006","0.28","339.74","442","3.76","5.75","1.86","21.73","0.71","1824154646.46",""
"NTXM-150","0-20 sm","Gill","21.698813270365","17.716252268496","6.9875686492334","0.36318920623052","16.29","18.547313882248","175.99722944038","2.15","323.58","388.16","1.67","","0.9","21.79","1.3","678256059.39","Bug'doy"
"NMNX-142","0-20 sm","Gill","30.11895792965","19.042458477155","6.2131997383712","0.3353987887144","50.59","15.260995132499","246.79599428775","1.68","369.48","426.98","1.88","7.58","1.9","18.17","0.63","155907355.47","Bug'doy"
"NTXM-151","0-20 sm","Gill","33.453050130243","26.352531306552","6.2732087323134","0.53916830973882","25.34","24.172624902481","199.43702771415","0.96","336.7","462.99","3.52","8.51","2.13","18.47","1.08","785803298.39","Bug'doy"
"NMNX-624","0-20 sm","Gill","20.840706595696","17.964103155193","6.3268827067901","0.5919851179219","18.49","22.115450681385","276.10176849954","1.03","321.87","460.72","3.6","7.03","2.67","32.17","1.24","","Bug'doy"
"NTTM-113","0-20 sm","Gill","28.296886513191","16.081267673581","6.1224460848767","0.43816132796992","63.41","26.739806506687","262.63480055843","1.23","429.91","406.01","1.33","9.41","2.07","26.51","0.77","502357439.73","Bug'doy"
"NMNX-745","0-20 sm","Gill","23.576335810377","24.342938117927","6.9026197148672","0.30970837570753","61.33","15.692348621879","157.04802581745","1.01","427.88","442.84","2.85","9.4","1.36","25.04","1.11","1756389589.99","Bug'doy"
"NMNX-866","0-20 sm","Gill","38.599866220294","29.229273207598","7.2525879554275","0.54938278661388","43.03","16.730004283755","290.62185988541","2.56","334.42","377.19","1.45","6.88","","13.84","0.9","193028797.22","Bug'doy"
"NTXM-152","0-20 sm","Gill","26.832874205762","21.254169193749","7.2628828352928","0.35401783477485","69.57","24.640517184576","212.60140438389","1.81","400.29","438.34","2.82","","1.84","43.94","0.87","2072508983.6","Bug'doy"
