Namuna,Qatlam (sm),Mexanik tarkib,pH,Gumus (%),Tuproq EC (mS/cm),Tuproq zichligi (g/sm3),DNS (%),Azot (mg/kg),Fosfor (mg/kg),Kaliy (mg/kg),Mg (mg/kg),Mikroorganizmlar (CFU/g),S (mg/kg),Fe (mg/kg),Zn (mg/kg),Mn (mg/kg),Cu (mg/kg),B (mg/kg),Ekin
NTTM-106,20-40 sm,Gill,7.31,1.16,0.63,0.78,13.75,245,8.1,560,280.85,411827518.99,11.6,0.43,0.29,7.73,0.57,0.74,Bug'doy
NMNX-15,0-20 sm,Gill,7.43,1.05,0.62,0.75,26.36,282,8.3,454,388.34,1063462517.17,11,0.5,0.32,4.99,0.81,2.65,Bug'doy
NMNX-136,0-20 sm,Gill,7.36,0.89,0.51,0.69,21.4,213,8.3,676,348.78,56333032.34,23.6,0.93,0.28,2.17,1.04,1.97,Bug'doy
NTXM-145,20-40 sm,Qumoq,7.62,1.23,0.68,0.75,30.24,207,9.4,127,394.73,1635626544.48,27.2,0.72,0.28,2.43,1.04,0.94,Makkajo'xori
NMNX-137,0-30,Gill,7.49,2.01,0.84,0.69,24.99,307,8.3,11,349.67,1462955360.08,15.8,0.57,0.26,2.13,0.73,2.47,Bug'doy
NTXM-146,0-20 sm,Loy,7.55,0.92,0.61,0.64,27.01,207,7.2,496,,1757643840.86,26.2,0.47,0.24,1.99,1.15,1.94,Bug'doy
NMNT-138,20-40 sm,Qumoq,7.44,,0.76,0.78,26.87,201,5.5,359,386.37,1017761780.23,26,0.83,0.18,2.24,0.71,1.91,Paxta
NTTM-107,0-20 sm,Gill,7.63,2.02,0.52,0.69,20.6,364,7.5,507,382.76,525777027.61,14.6,1.19,0.23,2.16,0.39,2.82,Bug'doy
NMNX-16,0-20 sm,Qumoq,7.42,1.11,0.63,0.61,30.61,220,8.3,560,401.96,1005151414.58,15.8,1.08,0.19,1.77,0.34,0.74,Makkajo'xori
NMNX-137,0-20 sm,Qum,7.58,1.49,0.74,0.83,27.83,245,8.3,560,406.23,1787403719.78,8.2,0.96,0.32,2.67,1.57,0.59,Bug'doy
,0-20 sm,Gill,7.41,0.81,0.42,1,14.89,207,7.7,676,274.53,672566536.1,15,0.92,0.27,3.12,1.43,1.85,Bug'doy
,0-20 sm,Qum,7.34,1.73,0.53,0.72,23.23,276,8.3,401,403.58,554719975.18,14.8,0.57,0.28,2.15,1.34,2.18,Bug'doy
NTXM-147,20-40 sm,Gill,7.4,0.82,0.84,0.67,17.22,207,5,560,327.9,2929507587.65,25.4,0.46,0.27,2.43,1.53,2.12,Bug'doy
NMNT-139,0-20 sm,Loy,7.29,1.75,0.63,0.61,13.27,245,5.7,465,332.2,633195480.86,22.4,0.44,0.25,2.11,1.24,0.74,Bug'doy
NTTM-108,0-20 sm,Gill,8.23,1.94,0.58,0.56,21.99,169,8.1,549,,978990984.32,21,0.38,0.2,3.01,1.15,2,Bug'doy
NMNX-17,20-40 sm,Qumoq,7.62,1.91,0.52,0.47,20.78,182,5,560,469.67,1867018750.06,22.4,0.46,0.73,2.72,1.14,1.97,Makkajo'xori
NMNX-138,0-20 sm,Qumoq,7.48,1.94,0.59,0.67,28.3,220,8.3,760,454.77,,24,0.37,0.83,3.84,1.99,0.88,Makkajo'xori
NTXM-147,0-20 sm,Qumoq,7.42,0.84,0.72,0.78,11.71,138,5.7,401,,442016832.78,26,0.32,0.37,3.77,1.34,2,Makkajo'xori
NMNX-139,0-20 sm,Qum,7.59,1.23,0.43,0.83,24.11,238,8.3,697,432.4,876352969.3,25.4,0.43,0.45,2.65,1.43,2.29,Makkajo'xori
NTXM-148,0-20 sm,Qumoq,7.46,0.5,0.43,0.86,15.91,151,8.1,517,388.5,51534125.22,16,0.38,0.36,2.88,1.92,0.59,Makkajo'xori
NMNT-140,20-40 sm,Qum,7.44,1.58,0.55,1,26.45,207,7.9,612,287.84,2467136767.13,14.6,0.47,0.45,3.16,1.47,1.88,Bug'doy
NTTM-109,0-20 sm,Loy,7.63,0.64,0.86,0.53,25.6,138,8.3,581,404.8,654995849.92,7.2,0.35,0.76,5.07,1.42,2.47,Makkajo'xori
NMNX-18,0-30,Loy,7.48,1.3,0.57,1.11,13.75,182,10.7,708,392.63,2603703293.77,14.2,0.92,0.59,6.69,1.15,0.65,Paxta
NMNX-139,0-20 sm,Qum,7.54,1.68,0.72,0.54,26.36,138,7.5,612,279.56,388569848.15,16,0.95,0.29,4.64,1.91,2.53,Bug'doy
NTXM-148,0-20 sm,Qum,7.52,0.82,0.44,1.03,21.4,207,8.3,370,442.87,133074504.26,17.4,0.81,0.31,4.98,1.43,2.41,Makkajo'xori
NMNX-140,0-20 sm,Gill,7.41,1.45,0.48,0.97,24.99,295,8.6,676,385.04,133416010.31,26,0.71,0.38,5.15,1.97,2,Bug'doy
NTXM-149,20-40 sm,Qum,7.64,2.13,0.57,0.72,27.01,289,5.7,338,322.09,319259296.61,14.6,1.06,0.18,2.46,0.92,1.85,Bug'doy
NMNT-141,0-20 sm,Loy,7.55,2,0.57,0.83,20.6,207,7,444,404.43,1274647289.45,8.6,0.96,0.18,2.15,0.93,2.18,Bug'doy
NTTM-110,0-20 sm,Yengil qum,7.48,0.33,0.63,0.94,27.83,138,8.1,718,430.87,2190540445.05,12.6,1.02,0.19,2.24,1.15,2.47,Makkajo'xori
NMNX-19,0-20 sm,Loy,7.65,1.57,0.58,1.03,14.89,138,8.3,454,297.47,666341544.79,14,1.05,0.25,2.16,1.19,2.82,Bug'doy
NMNX-140,0-30,Gill,7.37,1.79,0.51,1.06,23.23,82,7.9,496,308.81,222397367.38,11,1.03,0.2,2.35,1.04,1.82,Bug'doy
NTXM-149,0-20 sm,Yengil qum,7.43,1.45,0.43,0.75,17.22,107,8.3,612,386.33,202516563.06,7.2,0.95,0.18,2.16,0.89,0.74,Bug'doy
TSPD-1998,0-30,Gill,7.57,0.59,0.42,1.08,17.01,38,7,370,281.52,2603703293.77,14,0.86,0.18,2,1.04,2.23,Bug'doy
Karta-109,0-20 sm,Loy,7.46,1.53,0.44,1,21.8,88,7.2,655,349.45,388569848.15,13.1,0.78,0.18,2.27,1.03,1.94,Bug'doy
NTTM-111,0-20 sm,Yengil qum,7.38,1.94,0.29,1.06,17.37,19,5.3,708,302.02,133074504.26,12.8,0.76,0.17,2.88,0.92,2.21,Bug'doy
NMNX-261,0-20 sm,Yengil qum,7.32,1.12,0.67,0.83,15.41,56,7.7,444,435.78,133416010.31,11.2,0.95,0.23,2.65,0.88,1.82,Makkajo'xori
NMNX-382,0-30,Gill,7.36,0.81,0.34,0.83,27.33,50,8.3,475,343.08,319259296.61,11.6,0.59,0.43,2.2,0.89,1.32,Bug'doy
NTXM-150,0-20 sm,Yengil qum,7.4,2.16,0.48,0.92,13.52,38,7.5,454,294.12,1274647289.45,8.8,1.29,0.3,4.99,1.71,2.59,Bug'doy
TSPD-1999,0-20 sm,Yengil qum,7.33,0.56,0.43,0.78,28.86,25,8.1,591,347.6,211056557.87,14,0.35,0.46,2.38,1.74,2.29,Bug'doy
Karta-110,0-20 sm,Yengil qum,7.63,0.73,0.44,0.61,14.9,82,7.2,507,351.74,,27.2,0.35,0.56,2.66,1.6,2.82,Bug'doy
NTTM-112,0-20 sm,Loy,7.52,1.4,0.37,0.78,12.45,88,7.7,708,372.22,673387269.53,21,0.74,0.19,2.42,1.43,2.29,Bug'doy
NMNX-503,0-20 sm,Qumoq,7.57,,0.54,0.92,25.21,144,7.2,623,310.27,427592506.67,22.8,0.51,0.37,6,1.69,2.26,Makkajo'xori
NMNX-624,0-20 sm,Yengil qum,7.59,1.03,0.68,0.86,12.37,213,8.6,718,384.45,908099008.62,23,0.46,0.3,9.53,1.53,2.82,Makkajo'xori
NTXM-151,0-20 sm,Yengil qum,7.48,1.29,0.46,0.81,29.72,282,5.7,454,382.96,2626785971.61,16,0.5,0.32,3.7,1.34,2.47,Bug'doy
TSPD-2000,20-40 sm,Loy,7.52,1.84,0.43,0.78,16.23,264,9.4,475,399.38,1138722555.1,14.8,0.61,0.27,2.88,1.41,2.41,Bug'doy
Karta-111,0-20 sm,Qumoq,7.46,2.2,0.42,0.69,15.63,301,7,507,417.1,721652989.21,23,0.46,0.23,2.71,1.02,1.71,Makkajo'xori
NTTM-113,0-20 sm,Qumoq,7.62,2.11,0.31,0.75,17.19,226,7.5,348,418.55,1053312458.34,11.3,0.4,0.78,2.43,1.04,1.29,Makkajo'xori
NMNX-745,0-20 sm,Loy,7.58,1.02,0.56,0.61,17.46,307,5,327,314.89,2617802909.7,11.6,0.68,0.46,2.79,1.14,1.23,Bug'doy
NMNX-866,0-20 sm,Yengil qum,7.41,1.05,0.32,0.81,17.92,326,5.9,517,449.32,167472174.13,25.7,0.65,0.5,2.27,1.16,1.35,Makkajo'xori
NTXM-152,0-20 sm,Yengil qum,7.59,1.05,0.62,0.89,25.84,251,5,391,436.5,1271560799.52,11.7,0.64,0.56,7.75,1.03,1.38,Makkajo'xori
TSPD-2001,0-30,Gill,7.55,0.65,0.47,0.75,27.13,213,4.8,444,347.97,2098167562.79,11.8,0.5,0.63,7.71,1.02,1.53,Bug'doy
Karta-112,0-20 sm,Yengil qum,7.57,1.31,0.37,0.69,28.78,195,5.5,507,387.31,798899630.33,11,0.48,0.28,1.89,0.91,1.65,Bug'doy
NTTM-114,0-20 sm,Loy,7.33,1.22,0.71,0.83,21.34,31,5.9,581,347.51,1201899433.88,11.2,0.54,0.37,1.99,1.13,1.59,Bug'doy
NMNX-987,0-30,Gill,7.51,0.49,0.46,0.78,14.77,69,6.8,465,369.11,2502090980.31,11.7,0.49,0.32,2.1,1.06,1.53,Bug'doy
NMNX-1108,0-20 sm,Yengil qum,7.57,0.9,0.53,0.78,27,182,7.5,391,335.61,770617122.02,11.8,0.53,0.37,7.77,1.02,1.32,Bug'doy
NTXM-153,0-20 sm,Qumoq,7.49,2.32,0.6,0.61,13.58,19,6.4,454,470.48,1363665930.38,10.4,0.63,0.48,2,0.86,1.29,Makkajo'xori
TSPD-2002,0-20 sm,Loy,7.31,,0.71,0.67,26.04,132,5.5,655,288.9,56620302.13,11,1.07,0.38,4.43,1.71,2.41,Bug'doy
Karta-113,0-20 sm,Qumoq,7.32,2.02,0.49,0.75,21.21,163,7.7,517,390.43,937916656.35,12.6,3.42,0.35,10.61,1.6,2,Makkajo'xori
NTTM-115,0-20 sm,Yengil qum,7.23,1.2,0.73,0.81,14.76,182,8.1,507,367.49,1176455260.96,10.2,2.19,0.37,2.75,1.52,2.06,Bug'doy
NMNX-1229,0-30,Gill,7.34,1.98,0.46,0.75,24.36,295,5.5,433,362.51,675237654.85,13.6,0.6,0.42,2.53,1.22,2.26,Bug'doy
NMNX-134,0-20 sm,Yengil qum,7.51,1.37,0.63,0.83,27.74,201,5.7,253,360.99,2436579760.4,3.2,0.77,0.44,3.76,1.16,2.12,Bug'doy
NTXM-143,0-20 sm,Yengil qum,7.47,0.81,0.42,0.81,29.69,6,5,465,365.69,693702125.71,14.5,0.5,0.48,2.62,1.21,2.35,Makkajo'xori
NMNX-135,20-40 sm,Gill,7.46,1.72,0.57,0.89,14.19,56,6.6,401,301.02,985681995.09,9,0.64,0.47,3.66,1.18,2.18,Bug'doy
NTXM-144,0-20 sm,Yengil qum,7.62,0.71,0.43,0.75,18.84,132,8.3,444,360.18,2603703293.77,13,1.2,0.45,2.76,1.25,2.65,Makkajo'xori
NMNT-136,0-30,Qumoq,7.5,1.3,0.63,0.78,12.58,69,8.1,338,372.83,388569848.15,8.4,2.12,0.37,2.84,1.03,2.26,Paxta
NTTM-105,0-20 sm,Loy,7.4,1.04,0.61,0.67,28.71,270,7,391,350.46,133074504.26,27.1,1.18,0.42,2.76,1.04,1.62,Bug'doy
NMNX-255,0-20 sm,Loy,7.3,1.13,0.23,0.56,23.45,326,7.5,401,326.57,133416010.31,26,2.08,0.52,3.43,1.68,2.12,Bug'doy
NMNX-376,0-20 sm,Yengil qum,7.5,1.12,0.38,0.72,25.22,351,8.6,454,414.81,319259296.61,19.5,2.06,0.48,2.77,1.26,1.85,Makkajo'xori
NTXM-144,0-20 sm,Yengil qum,7.5,1.34,0.71,0.67,17.86,13,8.3,644,402.94,1274647289.45,13.9,1.06,0.45,3.63,1.05,2.29,Makkajo'xori
NMNX-136,0-20 sm,Yengil qum,7.4,1.23,0.59,0.75,17.86,314,8.1,454,417.98,,23.9,0.59,0.36,2.76,1.25,2.21,Makkajo'xori
NTXM-145,0-20 sm,Yengil qum,7.4,2.14,0.76,0.61,28.85,282,8.3,465,411.5,1300115338.33,2.5,0.74,0.38,2.74,1.43,0.94,Makkajo'xori
,0-30,Gill,7.4,,0.41,0.81,21.71,6,7.5,412,399.88,1491513443.58,6.5,0.5,0.46,2.97,1.47,2.65,Bug'doy
NTTM-106,0-20 sm,Loy,7.4,1.81,0.67,0.89,28.35,270,8.6,486,310.68,1467813343.66,28.6,0.59,0.71,2.89,1.24,2.41,Bug'doy
NMNX-256,0-20 sm,Qumoq,7.6,0.54,0.42,0.83,15.96,220,5.5,539,482.78,417223876.34,8.5,0.52,0.39,2.5,1.21,2.21,Makkajo'xori
NMNX-377,0-20 sm,Yengil qum,7.3,1.11,0.77,0.75,18.9,151,4.8,454,437.44,475621397.01,8,0.67,0.36,2.76,1.24,2.06,Makkajo'xori
NTXM-145,0-20 sm,Yengil qum,7.6,1.03,0.53,0.39,17.61,201,5.3,507,331.57,183286037.56,10.86,9.32,0.32,9.03,0.69,0.69,Bug'doy
NMNX-137,0-20 sm,Yengil qum,7.6,2.27,0.48,0.88,13.17,151,5.9,581,333.62,361066200.2,4.52,4.05,0.42,5.3,1.06,0.29,Bug'doy
NTXM-146,0-20 sm,Yengil qum,7.8,1.03,0.66,0.1,16.01,75,7.9,327,353.21,,7.24,7.32,0.5,6.32,0.87,0.4,Bug'doy
NMNT-138,0-20 sm,Loy,7.7,0.51,0.43,0.68,25.76,232,5.9,275,471.78,291016315.3,5.43,6.52,0.47,8.05,1.52,0.32,Makkajo'xori
NTTM-107,0-30,Gill,7.7,1.72,0.72,0.49,23.45,207,7.5,549,384.59,1305972080.62,3.32,4.56,0.36,13.02,1.96,0.67,Bug'doy
NMNX-257,0-20 sm,Yengil qum,7.9,1.92,0.38,0.78,25.06,264,6.4,496,362.04,57471080.85,3.92,8.06,0.52,14.52,1.32,0.46,Bug'doy
NMNX-378,20-40 sm,Gill,7.6,1.03,0.74,0.2,26.19,188,5,454,379.46,2178434542.63,5.13,3.59,0.34,17.56,1.54,0.55,Bug'doy
NTXM-146,0-30,Gill,7.8,0.77,0.82,1.07,25.81,326,6.8,486,379.29,614932682.22,4.22,4.58,0.58,11.52,0.86,0.74,Bug'doy
NMNX-138,0-20 sm,Qumoq,7.6,1,0.43,0.88,25.18,295,4.8,327,421.72,428951586.92,3.32,7.63,0.42,9.03,0.51,0.86,Makkajo'xori
NTXM-147,0-20 sm,Yengil qum,7.7,1.56,0.62,0.39,19.3,126,8.6,454,336.72,170852175.7,7.54,9.32,0.32,4.85,1.35,0.27,Bug'doy
NMNT-139,0-30,Gill,7.6,1.67,0.71,0.68,28.86,207,6.8,327,318.74,1164599020.73,7.84,4.02,0.57,6.32,1.25,0.23,Bug'doy
NTTM-108,0-20 sm,Loy,7.7,1.67,0.43,0.2,23.75,213,7.2,338,297.98,858003261.85,4.22,9.63,0.58,8.32,0.86,0.34,Bug'doy
,0-20 sm,Yengil qum,7.7,0.34,0.53,0.1,25.67,69,4.4,507,321.6,140277593.06,5.13,4.02,0.39,13.05,1.03,0.25,Bug'doy
NMNX-379,0-20 sm,Qumoq,7.5,0.53,0.42,0.29,21.85,220,5.9,539,416.47,2603703293.77,5.73,8.32,0.33,9.63,1.45,0.32,Makkajo'xori
NTXM-147,0-30,Gill,7.5,,0.77,1.17,17.22,163,8.1,496,409.47,388569848.15,6.33,6.03,0.51,7.63,1.32,0.4,Bug'doy
NMNX-139,0-20 sm,Yengil qum,7.4,1.84,0.41,0.88,20.51,138,6.1,348,408.3,133074504.26,4.52,4.85,0.28,13.05,0.85,0.29,Makkajo'xori
NTXM-148,0-20 sm,Yengil qum,7.5,1.08,0.76,0.1,17.06,88,7.5,444,,133416010.31,7.84,4.05,0.52,7.63,1.63,0.34,Bug'doy
NMNT-140,0-20 sm,Yengil qum,7.4,1.9,0.52,0.29,13.7,195,4.8,422,,319259296.61,5.73,8.32,0.33,9.63,1.45,0.32,Makkajo'xori
NTTM-109,20-40 sm,Yengil qum,7.6,1.61,0.36,0.88,19.22,251,6.8,391,334.53,1274647289.45,4.22,5.02,0.48,6.03,0.63,0.25,Bug'doy
NMNX-259,0-20 sm,Yengil qum,7.4,0.72,0.61,0.1,18.83,207,7.5,412,347.16,327085523.89,5.73,9.32,0.52,11.63,1.02,0.78,Bug'doy
NMNX-380,0-20 sm,Loy,7.5,1.12,0.6,0.49,23.12,195,6.6,433,381.85,1629931302.79,9.65,7.15,0.39,12.02,1.58,2.29,Bug'doy
NTXM-148,0-20 sm,Yengil qum,7.7,0.41,0.52,0.78,23.76,220,4.6,401,402.58,2466942986.55,4.22,4.02,0.24,7.51,1.3,0.29,Bug'doy
NMNX-140,0-20 sm,Yengil qum,7.6,1.19,0.76,1.07,14.04,251,7.5,380,331.42,381591586.19,10.86,5.21,0.28,12.21,0.69,0.53,Bug'doy
NTXM-149,0-20 sm,Loy,7.7,0.85,0.53,0.88,15.19,238,7,570,413.5,533056272.03,5.43,3.26,0.63,5.25,1.05,0.61,Makkajo'xori
NMNT-141,0-20 sm,Qumoq,7.6,1.42,0.76,0.49,23.71,119,8.3,444,456.34,1565056528.72,7.84,4.05,0.41,4.85,2.02,0.46,Makkajo'xori
NTTM-110,20-40 sm,Loy,7.5,0.61,0.53,0.68,10.33,163,5.9,444,345.59,161378989.21,9.65,2.89,0.52,13.25,1.58,0.29,Bug'doy
NMNX-260,0-30,Gill,7.5,0.79,0.46,0.2,22.8,207,8.3,612,367.04,2260473170.06,4.22,6.32,0.35,8.5,0.68,0.55,Bug'doy
NMNX-381,0-20 sm,Loy,7.5,0.79,0.42,1.17,19.88,138,5.9,602,330.74,,5.13,7.51,0.6,6.32,0.78,0.74,Bug'doy
NTXM-149,0-20 sm,Yengil qum,7.5,0.96,0.65,0.98,27.18,126,7.2,433,389.44,537717970.13,8.75,3.15,0.52,7.15,1.05,0.9,Bug'doy
NMNX-141,0-20 sm,Loy,7.4,1.53,0.45,0.88,28.28,157,6.8,475,,1907744144.52,7.84,4.32,0.48,9.52,1.96,0.31,Bug'doy
NTXM-150,0-30,Gill,7.6,1.92,0.64,0.1,15.72,201,6.6,655,339.45,,6.33,1.69,0.41,11.05,1.57,0.53,Bug'doy
NMNT-142,0-20 sm,Loy,7.4,2.02,0.44,0.78,16.14,257,8.6,465,405.34,923671096.45,4.52,6.23,0.36,14.15,0.68,0.4,Makkajo'xori
NTTM-111,20-40 sm,Qumoq,7.5,1.79,0.6,0.59,19.99,201,7.7,327,427.95,384137805.58,10.26,4.05,0.25,12.3,0.5,0.32,Makkajo'xori
NMNX-261,20-40 sm,Loy,7.5,,0.59,0.39,23.48,257,6.4,422,339.48,1894594696.75,5.43,2.68,0.28,19.21,1.26,0.55,Bug'doy
,0-30,Yengil qum,7.6,1.93,0.72,0.68,15.51,251,8.1,539,327.4,169139430.25,6.64,3.51,0.37,14.52,1.03,0.59,Bug'doy
NTXM-150,0-30,Yengil qum,7.5,1.54,0.53,0.49,19.97,201,4.8,496,330.3,391292889.81,5.43,5.69,0.25,7.68,2.02,0.65,Bug'doy
TSPD-1999,0-30,Loy,7.5,0.36,0.48,0.1,17.06,333,7,422,399.15,,9.65,3.9,0.39,13.25,1.89,0.53,Makkajo'xori
Karta-110,0-30,Yengil qum,7.4,0.87,0.53,1.17,15.23,320,8.3,359,429.6,,5.13,4.12,0.52,6.17,0.87,0.4,Makkajo'xori
NTTM-112,0-30,Gill,7.4,1.74,0.76,0.29,21.76,232,5,560,292.77,114350848.33,4.25,2.05,0.42,12.05,1.05,0.31,Bug'doy
NMNX-503,0-30,Qumoq,7.6,1.3,0.82,0.59,27.75,326,5.3,549,442.51,127103786.79,8.75,1.98,0.57,6.38,1.63,0.73,Makkajo'xori
NMNX-624,0-30,Yengil qum,7.4,0.28,0.61,0.1,13.96,195,5.5,507,329.97,419121576.93,10.86,3.25,0.35,4.51,0.78,0.21,Bug'doy
,0-20 sm,Yengil qum,7.7,2.42,0.57,0.88,15.14,345,6.8,496,432.61,479593905.17,9.65,6.3,0.29,9.32,1.51,0.34,Makkajo'xori
TSPD-2000,0-20 sm,Yengil qum,7.6,1.01,0.81,0.39,12.93,257,8.1,634,433.41,282065847.99,4.52,7.21,0.57,11.5,1.63,0.53,Makkajo'xori
Karta-111,0-30,Gill,7.4,1.77,0.54,0.59,11,251,4.8,444,342.96,465760993.93,7.24,4.15,0.48,13.52,0.98,0.4,Bug'doy
NTTM-113,0-20 sm,Yengil qum,7.4,2.45,0.56,0.29,29.54,226,6.1,644,450.2,1652613881.48,5.43,3.26,0.29,14.25,1.05,0.29,Makkajo'xori
NMNX-745,0-20 sm,Yengil qum,7.6,1.87,0.62,0.1,16.24,264,7.2,496,431.83,802372418.1,9.95,6.53,0.34,6.25,1.87,0.42,Makkajo'xori
NMNX-866,0-30,Yengil qum,7.7,1.97,0.6,0.78,26.33,213,6.8,612,380.04,67514237.98,5.13,1.87,0.51,9.32,1.6,0.25,Paxta
NTXM-152,0-20 sm,Yengil qum,7.5,2.1,0.61,0.49,19.71,132,6.4,517,429.32,1199918643.87,7.54,5.02,0.46,7.15,0.69,0.71,Makkajo'xori
TSPD-2001,0-30,Gill,7.5,1.5,0.53,0.68,21.16,195,6.6,750,321.35,1443583293.86,5.73,6.33,0.28,11.56,0.7,0.78,Bug'doy
Karta-112,0-20 sm,Yengil qum,7.6,1.54,0.74,1.17,22.8,50,8.1,454,427.14,,10.26,4.51,0.33,6.25,1.3,0.29,Makkajo'xori
NTTM-114,0-30,Gill,7.5,1.75,0.68,0.88,29.89,201,5.3,634,325.95,1459701386.11,4.52,6.23,0.51,7.05,1.89,0.53,Bug'doy
NMNX-987,0-20 sm,Loy,7.6,1.74,0.59,0.1,21.81,100,8.3,676,347.07,253119681.28,8.75,4.05,0.27,15.62,0.52,0.4,Bug'doy
,0-30,Gill,7.6,1.88,0.62,1.27,14.29,232,7,444,298.17,1716825095.83,10.56,7.35,0.39,7.53,0.66,0.27,Bug'doy
NTXM-153,0-30,Qumoq,7.6,0.32,0.52,0.68,15.8,69,5.9,612,386.02,1899937390.63,4.22,6.49,0.51,9.32,1.05,0.31,Paxta
TSPD-2002,0-30,Gill,7.5,0.77,0.63,1.17,10.83,31,4.6,581,,775034260.14,8.14,4.05,0.6,4.15,1.96,0.52,Bug'doy
Karta-113,0-20 sm,Loy,7.4,1.31,0.62,0.88,24.58,63,8.3,496,407.03,2239201594.76,6.94,6.32,0.57,12.58,1.32,0.63,Makkajo'xori
NTTM-115,0-30,Gill,7.5,1.29,0.51,0.78,20.26,132,8.1,433,329.78,69320588.39,26.24,5.21,0.33,4.52,3.02,0.55,Bug'doy
NMNX-1229,0-30,Gill,7.7,1.15,0.72,0.1,17.12,201,8.6,507,376.96,1789134544.65,4.22,8.51,0.49,6.32,0.75,0.76,Bug'doy
NMNX-1350,0-20 sm,Qumoq,7.4,1.18,0.64,0.78,28.79,358,8.3,338,395.69,2211841706.92,7.54,2.48,0.35,11.89,1.53,0.5,Makkajo'xori
NTXM-154,0-20 sm,Loy,7.6,2.85,0.57,0.59,27.32,63,7,422,438.54,1047574969.41,4.83,3.15,0.26,9.06,1.96,0.38,Makkajo'xori
TSPD-2003,0-20 sm,Loy,7.5,1.98,0.64,0.15,24.46,195,7.5,444,,2096758568.44,9.9,3.77,0.34,7.83,0.97,0.17,Bug'doy
Karta-114,0-20 sm,Qumoq,7.5,1.37,0.55,0.44,28.21,207,5.9,507,428.86,553011173.96,3.8,3.24,0.35,7.94,0.88,0.19,Makkajo'xori
