"Sample","Layer (cm)","Mechanical composition","pH","Humus (%)","Soil EC (mS/cm)","Soil density (g/cm³)","CF (%)","N (mg/kg)","P (mg/kg)","K (mg/kg)","Mg (mg/kg)","Microorganisms  (CFU/g)","S (mg/kg)","Fe (mg/kg)","Zn (mg/kg)","Mn (mg/kg)","Cu (mg/kg)","B (mg/kg)","Crop"
"NTXM-144","0-20","","7.08","0.9","1.46","","34.36","","37.2","435.57","413.81","1000605821.7","44.16","12.1","3.25","8.56","0.76","1.99","Corn"
"NMNT-136","0-30","Sand","8.29","1.55","1.61","1.33","26.51","43.37","24.5","426.24","399.11","2323084192.41","50.84","10.21","1.01","","0.37","1.35","Corn"
"","20-40","Clay","","1.41","1.14","1.59","24.11","38.03","21.84","390.46","349.95","1822676191.29","61.91","7.51","1.96","5.5","0.59","2.48","Wheat"
"NMNX-14","0-20","Sand","6.67","1.9","1.34","","15.91","28","14.38","331.61","309.13","3057378892.09","67.65","12.57","2.56","5.81","1.06","2.55","Wheat"
"NMNX-135","20-40","Gill","6.68","1.45","1.59","1.52","26.45","53.14","28.94","350.19","326.82","2368506939.52","51.44","11.32","3.24","5.49","1.1","2.28","Corn"
"NTXM-144","0-30","Clay","6.59","0.57","0.66","1.27","36.89","75.35","36.81","368.77","442.03","1151913308.92","48.06","12.34","1.85","5.51","1.06","1.09","Corn"
"NMNX-136","0-20","Loamy","6.26","1.23","0.62","1.26","45.59","94.29","47.64","387.35","473.42","96305679.48","67.24","12.67","2.55","6.15","1.14","1.09","Corn"
"NTXM-145","20-40","Sand","6.76","1.31","0.77","1.34","33.01","70.79","35.98","405.93","372.6","126341574.79","52.28","11.9","0.52","2.77","0.95","1.05","Corn"
"","0-30","Gill","8.28","1.16","2.28","1.48","25.6","52.5","29.28","424.51","411.96","1819875344.16","48.72","8.73","3.22","2.88","","1.96","Corn"
"NTTM-106","20-40","Gill","6.67","1.16","2.03","1.64","13.75","21.44","12.81","443.09","280.85","411827518.99","65.82","10.26","3.98","3.02","0.98","1.83","Wheat"
"NMNX-15","0-20","Gill","7.47","1.05","2.12","1.45","26.36","57.82","32.19","461.67","388.34","1063462517.17","41.8","12.89","3.37","","0.68","1.99","Wheat"
"NMNX-136","0-20","Gill","7.48","0.89","2.51","1.59","21.4","36.75","19.4","480.25","348.78","56333032.34","52.94","8.72","3.27","2.26","0.72","1.35","Wheat"
"NTXM-145","20-40","Loamy","6.65","1.23","1.71","1.35","30.24","67.1","33.5","498.83","394.73","1635626544.48","58.64","12.6","2.33","2.23","0.93","1.64","Corn"
"NMNX-137","0-30","Gill","8.69","2.01","1.74","1.35","24.99","42.81","23.77","517.41","349.67","1462955360.08","35.05","9.85","3.21","6.98","0.47","1.55","Wheat"
"NTXM-146","0-20","Clay","7.99","0.92","2.43","1.42","27.01","58.94","30.63","535.99","","1757643840.86","55.48","","3.6","","0.68","1.93","Wheat"
"NMNT-138","20-40","Loamy","7.73","","1.58","1.47","26.87","56.92","31.79","417.35","386.37","1017761780.23","416.86","9.64","0.7","6.57","0.61","1.97","Cotton"
"NTTM-107","0-20","Gill","7.66","2.02","1.86","1.55","20.6","38.82","21.33","396.78","382.76","525777027.61","469.31","10.01","2.1","6.18","0.7","2.43","Wheat"
"NMNX-16","0-20","Loamy","7.21","1.11","1.93","1.4","30.61","65.45","34.88","453.69","401.96","1005151414.58","369.92","10.38","2.12","6.04","0.74","1.69","Corn"
"NMNX-137","0-20","Sand","7.84","1.49","1.22","1.57","27.83","72.8","36.93","451.49","406.23","1787403719.78","448.35","9.6","1.5","5.95","0.74","2.93","Wheat"
"","0-20","Gill","8.11","0.81","1.11","1.65","14.89","16.68","11.57","324.4","274.53","672566536.1","437.27","8.6","2.51","1.73","0.59","2.28","Wheat"
"","0-20","Sand","6.85","1.73","1.03","1.51","23.23","43.03","21.82","407.72","403.58","554719975.18","379.64","10.73","1.87","1.92","0.93","1.49","Wheat"
"NTXM-147","20-40","Gill","7.19","0.82","0.72","1.61","17.22","32.92","19.89","319.7","327.9","2929507587.65","444.03","11.37","1.29","1.88","0.83","0.92","Wheat"
"NMNT-139","0-20","Clay","6.97","1.75","0.9","1.48","13.27","34.05","18.63","355.53","332.2","633195480.86","428.32","10.58","1.62","2.77","0.82","0.77","Wheat"
"NTTM-108","0-20","Gill","8.25","1.94","0.86","1.46","21.99","33.95","19.12","369.9","","978990984.32","392.51","7.54","1.31","2.73","0.51","1.3","Wheat"
"NMNX-17","20-40","Loamy","7.88","1.91","1.77","1.27","20.78","80.39","41.47","482.2","469.67","1867018750.06","381.05","10.63","0.74","2.62","0.61","2.82","Corn"
"NMNX-138","0-20","Loamy","6.45","1.94","2.34","","28.3","93.34","46.05","497.78","454.77","","435.49","12.63","3.69","9.02","0.93","2.19","Corn"
"NTXM-147","0-20","Loamy","7.46","0.84","2.68","1.34","11.71","73.8","37.75","480.74","","442016832.78","493.39","12.99","3.88","9.03","0.63","","Corn"
"NMNX-139","0-20","Sand","6.8","1.23","0.31","1.29","24.11","91.08","43.91","477.36","432.4","876352969.3","382.8","12.8","0.71","8.99","0.96","1.93","Corn"
"NTXM-148","0-20","Loamy","8.11","0.5","0.3","1.41","15.91","44.7","24.71","435.57","388.5","51534125.22","444.96","8.4","2.03","8.8","0.65","1.25","Corn"
"NMNT-140","20-40","Sand","7.62","1.58","0.4","1.63","26.45","36.41","18.81","311.45","287.84","2467136767.13","428.86","11.93","3.26","8.93","1.19","0.83","Wheat"
"NTTM-109","0-20","Clay","7.63","0.64","2.32","1.36","25.6","74.34","40.34","451.61","404.8","654995849.92","386.34","13.96","3.18","9.29","0.84","2.31","Corn"
"NMNX-18","0-30","Clay","7.58","1.3","1.08","1.35","13.75","60.71","30.92","466.76","392.63","2603703293.77","436.06","9.13","3.72","1.15","0.72","1.48","Cotton"
"Karta-1/12","0-20","Sand","7.55","1.68","1.27","1.61","26.36","22.41","15.52","298.45","279.56","388569848.15","419.22","8.65","2.19","1.13","0.74","2.06","Wheat"
"NTXM-143","0-20","Sand","7.68","0.82","1.56","1.26","21.4","86.88","44.37","479.49","442.87","133074504.26","398.41","12.29","3.97","1.12","1.19","1.85","Corn"
"soil-sampl/3","0-20","Gill","7.55","1.45","0.41","1.37","24.99","48.79","27.42","386.45","385.04","133416010.31","401.55","11.28","1.65","9.01","0.7","2","Wheat"
"Karta-1/13","20-40","Sand","7.63","2.13","0.52","1.65","27.01","13.83","9.66","338.21","322.09","319259296.61","457.09","7.46","3.73","9.25","0.47","1.37","Wheat"
"NTXM-144","0-20","Clay","7.58","2","0.6","1.39","20.6","60.59","32.23","429.51","404.43","1274647289.45","418.15","13.12","0.83","9.64","0.89","1.35","Wheat"
"soil-sampl/4","0-20","sandy","8.23","0.33","1.63","1.25","27.83","86.46","43.33","481.62","430.87","2190540445.05","505.41","10.27","1.99","5.51","1.03","","Corn"
"Karta-1/14","0-20","Clay","7.54","1.57","1.81","1.57","14.89","24.14","14.17","327.96","297.47","666341544.79","398.38","6.28","1.83","5.71","0.64","1.78","Wheat"
"NTXM-145","0-30","Gill","7.64","1.79","2.33","1.61","23.23","18.25","13.42","335.84","308.81","222397367.38","477.77","7.35","1.59","5.69","0.89","","Wheat"
"soil-sampl/5","0-20","sandy","7.55","1.45","1.34","1.4","17.22","53.62","29.47","401.67","386.33","202516563.06","378.85","11.16","1.93","2.99","0.69","2.68","Wheat"
"Karta-1/15","0-30","Gill","7.65","0.59","1.6","1.64","17.01","13.71","10.51","299.57","281.52","2603703293.77","423.44","6.61","2.71","2.99","0.33","0.62","Wheat"
"NTXM-146","0-20","Clay","7.57","1.53","2.27","1.48","21.8","71.64","36.47","382.83","349.45","388569848.15","434.22","14.69","3.51","2.97","0.96","","Wheat"
"soil-sampl/6","0-20","sandy","7.63","1.94","1.64","1.63","17.37","16.38","12.08","303.79","302.02","133074504.26","406.81","6.48","3.82","6.35","0.19","3.1","Wheat"
"Karta-1/16","0-20","sandy","7.52","1.12","1.53","","15.41","94.53","47.95","498.98","435.78","133416010.31","442.19","13.93","3.52","5.82","0.82","","Corn"
"NTXM-147","0-30","Gill","7.52","0.81","1.75","1.62","27.33","12.32","11.73","347.21","343.08","319259296.61","415.93","5.78","3.26","5.82","0.26","1.05","Wheat"
"soil-sampl/7","0-20","sandy","7.58","2.16","1.62","1.62","13.52","24.49","12.62","340.3","294.12","1274647289.45","388.29","10.67","3.2","","1.05","1.88","Wheat"
"Karta-1/17","0-20","sandy","7.55","0.56","1.48","1.63","28.86","30.17","17.78","339.6","347.6","211056557.87","361.92","9.91","3.91","5.4","0.72","","Wheat"
"NTXM-148","0-20","sandy","7.57","0.73","1.92","1.5","14.9","26.36","19.08","390.84","351.74","","416.8","6.4","3.7","5.52","0.3","2.6","Wheat"
"Karta-1/17","0-20","Clay","7.51","1.4","1.1","1.61","12.45","48.67","27.05","401.48","372.22","673387269.53","410.2","10.74","3.39","5.15","0.9","2.33","Wheat"
"NTXM-148","0-20","Loamy","7.57","","1.16","1.46","25.21","53.93","28.93","347.21","310.27","427592506.67","410.25","11.64","1.42","5.47","0.98","1.14","Corn"
"soil-sampl/8","0-20","sandy","7.51","1.03","1.21","1.33","12.37","73.97","38.34","439.03","384.45","908099008.62","448.05","8.02","3.85","5.47","0.27","2.87","Corn"
"Karta-1/18","0-20","sandy","7.6","1.29","1.35","1.24","29.72","47.01","26.55","399.2","382.96","2626785971.61","412.96","10.28","1.45","4.54","0.3","1.83","Wheat"
"NTXM-149","20-40","Clay","7.6","1.84","1.65","1.44","16.23","60.28","33.07","417.48","399.38","1138722555.1","450.71","11.95","2.37","4.28","1.02","1.5","Wheat"
"Karta-1/18","0-20","Loamy","7.8","2.2","2.01","1.4","15.63","61.44","33.88","433.26","417.1","721652989.21","433.21","9.31","3.98","4.44","0.63","1.53","Corn"
"NTXM-149","0-20","Loamy","7.7","2.11","2.13","","17.19","91.8","45.71","457.33","418.55","1053312458.34","423.55","13.54","2.83","3.38","1.08","2.45","Corn"
"soil-sampl/9","0-20","Clay","7.9","1.02","2.54","1.57","17.46","42.33","24.81","344.42","314.89","2617802909.7","396.86","8.29","2.87","3.48","0.15","2.57","Wheat"
"Karta-1/19","0-20","sandy","7.6","1.05","1.74","","17.92","89.19","47.52","502.09","449.32","167472174.13","431.6","13.09","2.42","3.64","0.92","1.31","Corn"
"NTXM-150","0-20","sandy","7.8","1.05","2.26","1.24","25.84","81.02","40.17","504.08","436.5","1271560799.52","470.9","10.02","3.49","1.39","0.37","","Corn"
"Karta-1/19","0-30","Gill","7.7","0.65","1.66","1.54","27.13","28","16.96","357.51","347.97","2098167562.79","398.64","8.01","2.22","1.28","0.29","2.57","Wheat"
"NTXM-150","0-20","sandy","7.6","1.31","1.86","1.38","28.78","44.11","25.82","426.57","387.31","798899630.33","427.27","8.24","2.02","1.24","0.41","1.75","Wheat"
"soil-sampl/10","0-20","Clay","7.7","1.22","2.04","1.65","21.34","15.5","11.32","374.26","347.51","1201899433.88","451.42","7.63","2.55","6.38","0.42","1.85","Wheat"
"Karta-1/20","0-30","Gill","7.7","0.49","1.88","1.52","14.77","58.34","33.4","398.47","369.11","2502090980.31","361.35","10.69","0.92","6.47","0.52","1.91","Wheat"
"NTXM-151","0-20","sandy","7.6","0.9","2.26","1.46","27","33.12","19.42","338.99","335.61","770617122.02","406.52","7.83","1.21","6.21","","","Wheat"
"Karta-1/20","0-20","Loamy","7.7","2.32","2.62","1.36","13.58","82.3","42.69","484.74","470.48","1363665930.38","419.17","11.89","1.34","2.24","1.02","2.13","Corn"
"NTXM-151","0-20","Clay","7.6","","1.54","1.64","26.04","18.31","10.85","317.11","288.9","56620302.13","388.99","9","3.9","2.11","0.94","2.72","Wheat"
"soil-sampl/11","0-20","Loamy","7.6","2.02","1.55","","21.21","80.7","42.03","445.88","390.43","937916656.35","388.02","13.71","2.75","2.15","0.54","1.93","Corn"
"Karta-1/21","0-20","sandy","7.6","1.2","1.88","1.44","14.76","40.09","21.31","388.98","367.49","1176455260.96","409.43","11.22","3.72","4.54","1.05","2.51","Wheat"
"NTXM-152","0-30","Gill","7.6","1.98","1.18","1.28","24.36","52.4","25.93","388.06","362.51","675237654.85","427.92","10.9","1.82","4.44","0.7","2.09","Wheat"
"Karta-1/21","0-20","sandy","7.6","1.37","1.26","1.51","27.74","66.41","33.13","432.14","360.99","2436579760.4","412.32","9.87","0.58","4.19","0.83","2.06","Wheat"
"NTXM-152","0-20","sandy","7.7","0.81","1.59","1.44","29.69","63.67","32.13","399.36","365.69","693702125.71","407.58","13.16","0.72","3.95","1.11","","Corn"
"soil-sampl/12","20-40","Gill","7.6","1.72","1.96","1.63","14.19","24.39","15.88","334.41","301.02","985681995.09","422.32","11.57","0.93","3.86","0.91","2.71","Wheat"
"Karta-1/22","0-20","sandy","7.7","0.71","1.87","1.51","18.84","55.18","29.64","436.9","360.18","2603703293.77","447.29","8.86","2.63","3.56","0.66","1.41","Corn"
"NTXM-153","0-30","Loamy","7.52","1.3","2.07","1.41","12.58","57.08","29.52","402.55","372.83","388569848.15","440.5","9.95","0.95","2.66","0.58","","Cotton"
"Karta-1/22","0-20","Clay","7.57","1.04","0.97","1.62","28.71","33.82","17.19","351.17","350.46","133074504.26","370.38","12.48","2.67","2.75","1.1","2.32","Wheat"
"NTXM-153","0-20","Clay","7.54","1.13","0.87","1.51","23.45","20.18","13.74","343.93","326.57","133416010.31","387.42","6.77","3.81","2.74","0.36","1.48","Wheat"
"soil-sampl/13","0-20","sandy","7.73","1.12","0.99","1.25","25.22","78.97","41.63","442.8","414.81","319259296.61","380.14","13.1","1.45","3.8","1.15","2.77","Corn"
"Karta-1/23","0-20","sandy","7.53","1.34","1.3","1.31","17.86","72.7","38.21","469.29","402.94","1274647289.45","425.58","9.47","3.01","","0.76","","Corn"
"NTXM-154","0-20","sandy","7.54","1.23","1.25","1.28","17.86","73.17","39","457.86","417.98","","406.82","8.79","2.88","3.64","0.6","1.45","Corn"
"Karta-1/23","0-20","sandy","7.61","2.14","1.51","","28.85","81.26","42.36","448.21","411.5","1300115338.33","436.39","10.87","3.73","5.66","1","2.15","Corn"
"NTXM-154","0-30","Gill","7.54","","0.59","1.49","21.71","58.69","29.63","424.68","399.88","1491513443.58","361.46","10.33","0.63","5.93","0.91","1.4","Wheat"
"soil-sampl/14","0-20","Clay","7.57","1.81","0.65","1.44","28.35","43.75","23.12","376","310.68","1467813343.66","411.36","8.77","","5.54","0.68","1.09","Wheat"
"Karta-1/24","0-20","Loamy","7.51","0.54","0.81","1.26","15.96","84.6","44.96","534.55","482.78","417223876.34","471.3","10.04","0.96","5.79","0.81","1.41","Corn"
"NTXM-155","0-20","sandy","7.67","1.11","1.39","1.29","18.9","92.55","47.76","481.46","437.44","475621397.01","369.73","13.56","1.94","5.58","1.12","2.5","Corn"
"Karta-1/24","0-20","sandy","7.71","1.03","1.52","1.52","17.61","50.46","27.87","370.72","331.57","183286037.56","420.94","","0.56","5.41","0.85","","Wheat"
"NTXM-155","0-20","sandy","7.78","2.27","1.48","1.51","13.17","31.66","18.72","334.57","333.62","361066200.2","416.28","8.23","2.44","3.58","0.37","","Wheat"
"soil-sampl/15","0-20","sandy","7.71","1.03","0.85","1.58","16.01","35.34","17.95","364.69","353.21","74110045.87","384.63","6.87","3.42","3.67","0.64","1.37","Wheat"
"Karta-1/25","0-20","Clay","7.62","0.51","0.8","1.26","25.76","95.41","45.86","500.05","471.78","44466027.52","440.95","10.99","1.1","3.9","0.69","1.7","Corn"
"NTXM-156","0-30","Gill","7.64","1.72","0.92","1.39","23.45","59.45","31.2","404.09","384.59","17786411.01","","9.36","1.7","3.77","0.22","2.58","Wheat"
"Karta-1/25","0-20","sandy","7.59","1.92","0.72","1.51","25.06","31.45","19.36","384.16","362.04","75518916.91","467.07","10.36","2.03","3.97","0.78","1.01","Wheat"
"NTXM-156","20-40","Gill","7.61","1.03","0.69","1.34","26.19","58.32","29.46","388.24","379.46","45311350.15","393.44","12.25","3.49","4.17","0.95","1.2","Wheat"
"soil-sampl/16","0-30","Gill","7.63","0.77","0.87","1.26","25.81","31.44","16.92","372.69","379.29","18124540.06","359.57","7.38","2.01","4.19","0.53","1.81","Wheat"
"Karta-1/26","0-20","Loamy","7.62","1","1.66","1.38","25.18","83.09","44.18","453.58","421.72","20321441.01","","14.34","2.98","","0.99","1.28","Corn"
"NTXM-157","0-20","sandy","7.58","1.56","1.89","1.43","19.3","21.93","15.51","347.79","336.72","","407.33","6.87","3.21","4.07","0.72","1.68","Wheat"
"Karta-1/26","0-30","Gill","7.66","1.67","2.14","1.47","28.86","33.04","18.7","326.16","318.74","4877145.84","417.5","7.79","1.08","2.54","0.32","1","Wheat"
"NTXM-157","0-20","Clay","7.66","1.67","0.68","1.56","23.75","15.72","12.9","317.09","297.98","50213194.94","414.28","8.54","2.3","2.76","0.62","2.6","Wheat"
"soil-sampl/17","0-20","sandy","7.71","0.34","0.66","1.65","25.67","18.64","14.26","342.95","321.6","30127916.96","389.51","","1.38","2.53","0.33","2.42","Wheat"
"Karta-1/27","0-20","Loamy","7.61","0.53","0.75","","21.85","86.69","42.47","474.29","416.47","","417.58","12.93","3.11","4.28","1.19","2.78","Corn"
"NTXM-158","0-30","Gill","7.52","","0.92","1.58","17.22","54.77","28.21","464.46","409.47","61945349.22","376.04","10.22","2.8","4.23","0.69","2.82","Wheat"
"Karta-1/27","0-20","sandy","7.51","1.84","0.88","1.36","20.51","81.58","41.67","467.43","408.3","37167209.53","456.91","12.56","1.08","4.06","1.07","1.03","Corn"
"NTXM-158","0-20","sandy","7.64","1.08","0.97","1.4","17.06","49.24","26.2","366.25","","14866883.81","444.06","8.42","2.13","5.34","0.72","","Wheat"
"soil-sampl/18","0-20","sandy","7.67","1.9","0.91","1.3","13.7","51.52","30.26","463.87","","45164944.81","431.65","7.3","0.86","5.43","0.56","2.31","Corn"
"Karta-1/28","20-40","sandy","7.62","1.61","0.87","1.49","19.22","48.22","25.75","370.31","334.53","27098966.88","428.93","11.38","0.96","4.92","1.14","1.01","Wheat"
"NTXM-159","0-20","sandy","7.51","0.72","1.08","1.32","18.83","60.17","31.42","386.65","347.16","10839586.75","431.07","11.6","2.36","4.62","1.16","1.17","Wheat"
"Karta-1/28","0-20","Clay","7.67","1.12","0.71","1.49","23.12","47.75","27.56","410.97","381.85","178965784.3","","11.95","2.53","4.31","0.58","","Wheat"
"NTXM-159","0-20","sandy","7.68","0.41","0.7","1.51","23.76","59.87","30.11","432.58","402.58","107379470.58","447.8","9.86","1.49","4.62","0.82","2.24","Wheat"
"soil-sampl/19","0-20","sandy","7.7","1.19","0.83","1.59","14.04","33.08","19.78","379.09","331.42","42951788.23","451.56","7.72","1.23","8.07","0.36","","Wheat"
"Karta-1/29","0-20","Clay","7.62","0.85","0.74","1.28","15.19","55.41","32.51","433.52","413.5","158783686.22","428.77","9.12","1.54","8.35","0.23","1.62","Corn"
"NTXM-160","0-20","Loamy","7.63","1.42","0.91","1.29","23.71","99.66","51.12","491.95","456.34","95270211.73","446.66","13.21","3.88","8.66","1.2","","Corn"
"Karta-1/29","20-40","Clay","7.6","0.61","1.09","1.46","10.33","55.37","28.57","379.01","345.59","38108084.69","439.79","11.11","2.12","","0.79","1.46","Wheat"
"NTXM-160","0-30","Gill","7.6","0.79","0.68","1.51","22.8","36.97","24","368.82","367.04","95060545.99","468.64","10.48","0.5","3.84","0.7","1.61","Wheat"
"soil-sampl/20","0-20","Clay","7.6","0.79","0.65","1.48","19.88","42.25","21.19","366.04","330.74","57036327.59","419.83","7.99","2.48","3.89","0.6","1.99","Wheat"
"Karta-1/30","0-20","sandy","7.9","0.96","0.73","1.32","27.18","39.91","24.15","379.88","389.44","22814531.04","437.95","8.09","1.4","3.32","0.59","1.44","Wheat"
"NTXM-161","0-20","Clay","8","1.53","1.6","1.61","28.28","34","20.29","347.3","","46671956.37","421.83","9.47","0.77","","","2.36","Wheat"
"Karta-1/30","0-30","Gill","7.9","1.92","1.81","1.6","15.72","28.76","16.72","358.38","339.45","28003173.82","421.76","9.58","2.55","3.32","0.97","0.78","Wheat"
"NTXM-161","0-20","Clay","7.6","2.02","2.02","","16.14","84.65","43.46","459.47","405.34","11201269.53","406.68","15.13","3.68","3.45","","2.57","Corn"
"soil-sampl/21","20-40","Loamy","7.6","1.79","1.48","1.47","19.99","74.25","38.81","460.46","427.95","171525197.73","402.92","11.76","1","3.28","0.65","2.58","Corn"
"Karta-1/31","20-40","Clay","7.9","","1.49","1.5","23.48","30.35","17.44","346.44","339.48","102915118.64","439.65","9.86","3.12","3.27","0.54","","Wheat"
"NTXM-162","0-30","sandy","8.3","1.93","1.65","1.64","15.51","16.36","10.86","357.24","327.4","41166047.46","395.33","","2.59","3.8","0.52","1.01","Wheat"
"Karta-1/31","0-30","sandy","7.6","1.54","0.46","1.57","19.97","30.25","18.74","353.33","330.3","238746682.74","418.76","12.27","3.56","4.25","0.86","1.41","Wheat"
"NTXM-162","0-30","Clay","7.6","0.36","0.59","1.37","17.06","73.01","33.79","431.24","399.15","143248009.64","396.16","12.31","3.35","2.9","0.92","1.01","Corn"
"soil-sampl/22","0-30","sandy","7.8","0.87","0.63","1.41","15.23","79.77","41.03","468.28","429.6","","419.27","13.01","3.68","2.68","0.81","1.93","Corn"
"Karta-1/32","0-30","Gill","7.9","1.74","1.48","1.57","21.76","29.66","17.8","321.49","292.77","75450380.52","381.45","9.62","3.55","2.6","1.07","0.81","Wheat"
"NTXM-163","0-30","Loamy","7.9","1.3","1.62","1.27","27.75","72.3","41.63","484.1","442.51","45270228.31","488.3","13.05","1.66","5.15","0.93","","Corn"
"Karta-1/32","0-30","sandy","9.97","0.28","1.62","1.54","13.96","","17.7","355.89","329.97","18108091.33","386.46","8.83","0.5","","0.44","1.83","Wheat"
"NTXM-163","0-20","sandy","7.51","2.42","1.51","","15.14","","46.05","496.83","432.61","61856400.61","446.15","13.68","3.81","4.79","0.96","2.22","Corn"
"soil-sampl/23","0-20","sandy","7.53","1.01","1.89","1.34","12.93","","35.8","449.45","433.41","37113840.37","433.55","10.1","2.66","6.85","1","1.2","Corn"
"Karta-1/33","0-30","Gill","7.61","1.77","2.15","1.4","11","","23.8","391.78","342.96","14845536.15","440.02","7.8","3.87","6.94","0.89","1.51","Wheat"
"NTXM-164","0-20","sandy","7.53","2.45","1.13","1.24","29.54","","46.43","487.21","450.2","56685184.59","418.02","12.74","1.88","","","2.33","Corn"
"Karta-1/33","0-20","sandy","7.92","1.87","1.09","1.43","16.24","","41.91","458.58","431.83","34011110.75","406.14","12.67","2.62","5.4","0.63","2.4","Corn"
"NTXM-164","0-30","sandy","8.02","1.97","1.37","1.35","26.33","","26.16","415.16","380.04","13604444.3","399.72","10.18","3.84","5.65","0.5","1.16","Cotton"
"soil-sampl/24","0-20","sandy","8.05","2.1","1.08","1.24","19.71","","40.95","456.19","429.32","35031212.7","405.21","11.43","3.5","5.33","1.2","2.52","Corn"
"Karta-1/34","0-30","Gill","7.81","1.5","1.22","1.64","21.16","21.78","14.18","309.69","321.35","","460.99","8.78","2.12","5.3","1","2.63","Wheat"
"NTXM-165","0-20","sandy","7.65","1.54","1.54","1.28","22.8","80.19","40.7","469.18","427.14","8407491.05","405.75","12.66","1.3","5.18","1.11","2.15","Corn"
"Karta-1/34","0-30","Gill","7.7","1.75","1.03","1.64","29.89","24.18","15.14","331.52","325.95","85423124.21","402.64","6.79","2.91","5.25","0.79","1.39","Wheat"
"NTXM-165","0-20","Clay","7.57","1.74","1.16","1.28","21.81","49.33","26.91","397.92","347.07","51253874.53","380.23","9.86","1.05","2.38","0.68","1.32","Wheat"
"soil-sampl/25","0-30","Gill","7.58","1.88","1.34","1.59","14.29","20.5","12.25","301.74","298.17","20501549.81","432.35","10.47","3.7","2.45","0.56","2.33","Wheat"
"Karta-1/35","0-30","Loamy","7.82","0.32","","1.57","15.8","42.1","26.01","410.33","386.02","137912285.72","438.17","9.47","2.32","2.26","0.77","0.88","Cotton"
"NTXM-166","0-30","Gill","7.68","0.77","0.45","1.59","10.83","59.69","33.83","444.85","","82747371.43","426.78","7.65","1.2","3.49","0.92","2.39","Wheat"
"Karta-1/35","0-20","Clay","7.56","1.31","0.52","","24.58","99.16","49.11","476.86","407.03","","391.73","12.67","1.46","3.33","0.58","2.83","Corn"
"NTXM-166","0-30","Gill","7.53","1.29","1.37","1.46","20.26","40.26","24.34","378.59","329.78","136032574.28","411.27","8.5","2.13","3.31","1.11","1.8","Wheat"
"soil-sampl/26","0-30","Gill","7.51","1.15","1.46","1.41","17.12","55.7","31.55","393.22","376.96","81619544.57","461.86","8.9","2.21","2.95","0.84","2.26","Wheat"
"Karta-1/36","0-20","Loamy","7.78","1.18","1.57","1.39","28.79","75.02","38.86","443.36","395.69","","373.52","13.24","2.01","3.03","","1.95","Corn"
"NTXM-167","0-20","Clay","7.72","2.85","0.7","","27.32","88.28","45.33","504.24","438.54","72749898.18","","10.77","2.59","3.08","0.8","1.37","Corn"
"Karta-1/36","0-20","Clay","7.55","1.98","0.79","1.49","24.46","54.11","29.93","383.42","","43649938.91","420.38","9.97","2.6","2.85","0.74","","Wheat"
"NTXM-167","0-20","Loamy","7.52","1.37","0.87","1.34","28.21","88.21","44.67","473.8","428.86","17459975.56","435.57","11.41","3.65","2.82","0.8","1.1","Corn"
"soil-sampl/27","0-20","Clay","7.62","1.71","1.05","","28.39","98.93","47.83","527.5","469.79","98957798.18","","13.59","3.39","2.76","1.06","1.96","Corn"
"Karta-1/37","0-20","Loamy","7.58","1.12","1.02","1.5","14.68","83.72","42.71","452.23","426.32","","480.62","14.07","3.37","4.86","1.19","2.93","Corn"
